epoch,shortterm,midterm,longterm
1619931606.481,0.370000,0.220000,0.250000
1619931621.481,0.360000,0.220000,0.250000
1619931636.481,0.430000,0.240000,0.260000
1619931651.481,0.410000,0.250000,0.260000
1619931666.481,0.470000,0.270000,0.270000
1619931681.481,0.440000,0.270000,0.270000
1619931696.481,0.490000,0.290000,0.280000
1619931711.481,0.450000,0.290000,0.280000
1619931726.481,0.500000,0.310000,0.280000
1619931741.481,0.460000,0.310000,0.280000
1619931756.481,0.510000,0.330000,0.290000
1619931771.481,0.470000,0.330000,0.290000
1619931786.481,0.510000,0.350000,0.300000
1619931801.481,0.550000,0.360000,0.300000
1619931816.481,0.720000,0.410000,0.320000
1619931831.481,0.710000,0.420000,0.320000
1619931846.481,0.850000,0.470000,0.340000
1619931861.481,0.810000,0.480000,0.340000
1619931876.481,0.920000,0.520000,0.360000
1619931891.481,0.870000,0.530000,0.370000
1619931906.481,0.810000,0.530000,0.370000
1619931921.481,0.630000,0.510000,0.360000
1619931936.481,0.710000,0.530000,0.370000
1619931951.481,0.700000,0.540000,0.380000
1619931966.481,0.840000,0.580000,0.390000
1619931981.481,0.800000,0.580000,0.400000
1619931996.481,0.770000,0.580000,0.400000
1619932011.481,0.750000,0.590000,0.400000
1619932026.481,0.650000,0.580000,0.400000
1619932041.481,0.500000,0.550000,0.400000
1619932056.481,0.390000,0.520000,0.390000
1619932071.481,0.300000,0.490000,0.380000
1619932086.481,0.240000,0.470000,0.370000
1619932101.481,0.180000,0.440000,0.370000
1619932116.481,0.140000,0.420000,0.360000
1619932131.481,0.110000,0.400000,0.350000
1619932146.481,0.240000,0.410000,0.360000
1619932161.481,0.180000,0.390000,0.350000
1619932176.481,0.140000,0.370000,0.350000
1619932191.481,0.110000,0.350000,0.340000
1619932206.481,0.090000,0.340000,0.340000
1619932221.481,0.140000,0.340000,0.340000
1619932236.481,0.110000,0.320000,0.330000
1619932251.481,0.080000,0.300000,0.320000
1619932266.481,0.060000,0.290000,0.320000
1619932281.481,0.050000,0.270000,0.310000
1619932296.481,0.040000,0.260000,0.310000
1619932311.481,0.110000,0.260000,0.310000
1619932326.481,0.080000,0.250000,0.300000
1619932341.481,0.070000,0.230000,0.290000
1619932356.481,0.050000,0.220000,0.290000
1619932371.481,0.040000,0.210000,0.280000
1619932386.481,0.030000,0.200000,0.280000
1619932401.481,0.170000,0.220000,0.280000
1619932416.481,0.210000,0.230000,0.280000
1619932431.481,0.310000,0.250000,0.290000
1619932446.481,0.310000,0.250000,0.290000
1619932461.481,0.390000,0.270000,0.290000
1619932476.481,0.530000,0.310000,0.310000
1619932491.481,0.560000,0.330000,0.310000
1619932506.481,0.510000,0.330000,0.310000
1619932521.481,0.540000,0.340000,0.320000
1619932536.481,0.500000,0.340000,0.320000
1619932551.481,0.530000,0.360000,0.320000
1619932566.481,0.490000,0.360000,0.320000
1619932581.481,0.600000,0.390000,0.330000
1619932596.481,0.540000,0.390000,0.330000
1619932611.481,0.570000,0.400000,0.340000
1619932626.481,0.520000,0.400000,0.340000
1619932641.481,0.550000,0.410000,0.350000
1619932656.481,0.500000,0.410000,0.350000
1619932671.481,0.540000,0.420000,0.350000
1619932686.481,0.490000,0.410000,0.350000
1619932701.481,0.530000,0.430000,0.360000
1619932716.481,0.490000,0.420000,0.360000
1619932731.481,0.450000,0.420000,0.360000
1619932746.481,0.350000,0.400000,0.350000
1619932761.481,0.270000,0.380000,0.350000
1619932776.481,0.210000,0.360000,0.340000
1619932791.481,0.160000,0.340000,0.330000
1619932806.481,0.130000,0.320000,0.330000
1619932821.481,0.100000,0.310000,0.320000
1619932836.481,0.080000,0.290000,0.320000
1619932851.481,0.060000,0.270000,0.310000
1619932866.481,0.040000,0.260000,0.310000
1619932881.481,0.030000,0.250000,0.300000
1619932896.481,0.030000,0.230000,0.290000
1619932911.481,0.020000,0.220000,0.290000
1619932926.481,0.010000,0.210000,0.280000
1619932941.481,0.010000,0.200000,0.280000
1619932956.481,0.010000,0.190000,0.270000
1619932971.481,0.000000,0.180000,0.270000
1619932986.481,0.080000,0.190000,0.270000
1619933001.481,0.060000,0.180000,0.260000
1619933016.481,0.120000,0.180000,0.260000
1619933031.481,0.090000,0.170000,0.260000
1619933046.481,0.140000,0.180000,0.260000
1619933061.481,0.110000,0.170000,0.260000
1619933076.481,0.090000,0.160000,0.250000
1619933091.481,0.140000,0.170000,0.250000
1619933106.481,0.110000,0.160000,0.250000
1619933121.481,0.080000,0.150000,0.250000
1619933136.481,0.060000,0.140000,0.240000
1619933151.481,0.210000,0.170000,0.250000
1619933166.481,0.160000,0.160000,0.240000
1619933181.481,0.130000,0.150000,0.240000
1619933196.481,0.100000,0.140000,0.230000
1619933211.481,0.140000,0.150000,0.240000
1619933226.481,0.260000,0.180000,0.240000
1619933241.481,0.280000,0.190000,0.250000
1619933256.481,0.360000,0.210000,0.250000
1619933271.481,0.360000,0.220000,0.250000
1619933286.481,0.430000,0.240000,0.260000
1619933301.481,0.400000,0.240000,0.260000
1619933316.481,0.460000,0.260000,0.270000
1619933331.481,0.430000,0.270000,0.270000
1619933346.481,0.490000,0.290000,0.280000
1619933361.481,0.450000,0.290000,0.280000
1619933376.481,0.500000,0.310000,0.280000
1619933391.481,0.460000,0.310000,0.280000
1619933406.481,0.510000,0.330000,0.290000
1619933421.481,0.470000,0.330000,0.290000
1619933436.481,0.510000,0.340000,0.290000
1619933451.481,0.470000,0.340000,0.290000
1619933466.481,0.680000,0.390000,0.310000
1619933481.481,0.600000,0.390000,0.310000
1619933496.481,0.690000,0.420000,0.320000
1619933511.481,0.610000,0.410000,0.320000
1619933526.481,0.620000,0.430000,0.330000
1619933541.481,0.560000,0.420000,0.330000
1619933556.481,0.580000,0.430000,0.330000
1619933571.481,0.450000,0.410000,0.330000
1619933586.481,0.350000,0.390000,0.320000
1619933601.481,0.720000,0.470000,0.350000
1619933616.481,0.560000,0.450000,0.350000
1619933631.481,0.440000,0.420000,0.340000
1619933646.481,0.340000,0.400000,0.330000
1619933661.481,0.260000,0.380000,0.330000
1619933676.481,0.200000,0.360000,0.320000
1619933691.481,0.160000,0.340000,0.320000
1619933706.481,0.120000,0.330000,0.310000
1619933721.481,0.100000,0.310000,0.300000
1619933736.481,0.070000,0.290000,0.300000
1619933751.481,0.120000,0.300000,0.300000
1619933766.481,0.160000,0.300000,0.300000
1619933781.481,0.130000,0.280000,0.290000
1619933796.481,0.170000,0.280000,0.290000
1619933811.481,0.130000,0.270000,0.290000
1619933826.481,0.100000,0.260000,0.280000
1619933841.481,0.080000,0.240000,0.270000
1619933856.481,0.060000,0.230000,0.270000
1619933871.481,0.050000,0.220000,0.270000
1619933886.481,0.040000,0.210000,0.260000
1619933901.481,0.030000,0.200000,0.260000
1619933916.481,0.020000,0.180000,0.250000
1619933931.481,0.020000,0.170000,0.250000
1619933946.481,0.010000,0.170000,0.240000
1619933961.481,0.010000,0.160000,0.240000
1619933976.481,0.010000,0.150000,0.230000
1619933991.481,0.000000,0.140000,0.230000
1619934006.481,0.000000,0.130000,0.230000
1619934021.481,0.000000,0.130000,0.220000
1619934036.481,0.000000,0.120000,0.220000
1619934051.481,0.080000,0.130000,0.220000
1619934066.481,0.140000,0.140000,0.220000
1619934081.481,0.250000,0.160000,0.230000
1619934096.481,0.350000,0.190000,0.230000
1619934111.481,0.420000,0.210000,0.240000
1619934126.481,0.400000,0.220000,0.240000
1619934141.481,0.460000,0.240000,0.250000
1619934156.481,0.430000,0.250000,0.250000
1619934171.481,0.480000,0.270000,0.260000
1619934186.481,0.450000,0.270000,0.260000
1619934201.481,0.650000,0.320000,0.280000
1619934216.481,0.580000,0.320000,0.280000
1619934231.481,0.600000,0.340000,0.280000
1619934246.481,0.540000,0.340000,0.280000
1619934261.481,0.570000,0.360000,0.290000
1619934276.481,0.520000,0.350000,0.290000
1619934291.481,0.550000,0.370000,0.300000
1619934306.481,0.500000,0.370000,0.300000
1619934321.481,0.540000,0.380000,0.300000
1619934336.481,0.490000,0.380000,0.300000
1619934351.481,0.530000,0.390000,0.310000
1619934366.481,0.490000,0.390000,0.310000
1619934381.481,0.530000,0.400000,0.310000
1619934396.481,0.410000,0.380000,0.310000
1619934411.481,0.320000,0.360000,0.300000
1619934426.481,0.250000,0.350000,0.300000
1619934441.481,0.190000,0.330000,0.290000
1619934456.481,0.150000,0.310000,0.280000
1619934471.481,0.110000,0.300000,0.280000
1619934486.481,0.090000,0.280000,0.270000
1619934501.481,0.070000,0.270000,0.270000
1619934516.481,0.050000,0.250000,0.260000
1619934531.481,0.040000,0.240000,0.260000
1619934546.481,0.030000,0.230000,0.250000
1619934561.481,0.020000,0.220000,0.250000
1619934576.481,0.020000,0.200000,0.250000
1619934591.481,0.090000,0.210000,0.250000
1619934606.481,0.070000,0.200000,0.240000
1619934621.481,0.130000,0.200000,0.240000
1619934636.481,0.100000,0.190000,0.240000
1619934651.481,0.080000,0.180000,0.240000
1619934666.481,0.060000,0.170000,0.230000
1619934681.481,0.040000,0.170000,0.230000
1619934696.481,0.030000,0.160000,0.220000
1619934711.481,0.030000,0.150000,0.220000
1619934726.481,0.020000,0.140000,0.210000
1619934741.481,0.010000,0.130000,0.210000
1619934756.481,0.010000,0.130000,0.200000
1619934771.481,0.010000,0.120000,0.200000
1619934786.481,0.000000,0.110000,0.200000
1619934801.481,0.000000,0.110000,0.190000
1619934816.481,0.000000,0.100000,0.190000
1619934831.481,0.000000,0.090000,0.180000
1619934846.481,0.150000,0.120000,0.190000
1619934861.481,0.110000,0.110000,0.190000
1619934876.481,0.170000,0.130000,0.190000
1619934891.481,0.200000,0.140000,0.190000
1619934906.481,0.310000,0.160000,0.200000
1619934921.481,0.380000,0.190000,0.200000
1619934936.481,0.440000,0.210000,0.210000
1619934951.481,0.420000,0.220000,0.210000
1619934966.481,0.470000,0.240000,0.220000
1619934981.481,0.600000,0.280000,0.230000
1619934996.481,0.680000,0.310000,0.250000
1619935011.481,0.600000,0.310000,0.250000
1619935026.481,0.620000,0.330000,0.250000
1619935041.481,0.550000,0.330000,0.260000
1619935056.481,0.580000,0.350000,0.260000
1619935071.481,0.520000,0.350000,0.260000
1619935086.481,0.560000,0.360000,0.270000
1619935101.481,0.510000,0.360000,0.270000
1619935116.481,0.540000,0.370000,0.280000
1619935131.481,0.500000,0.370000,0.280000
1619935146.481,0.530000,0.390000,0.280000
1619935161.481,0.490000,0.380000,0.280000
1619935176.481,0.530000,0.400000,0.290000
1619935191.481,0.630000,0.430000,0.300000
1619935206.481,0.640000,0.440000,0.310000
1619935221.481,0.570000,0.430000,0.310000
1619935236.481,0.440000,0.410000,0.300000
1619935251.481,0.350000,0.390000,0.300000
1619935266.481,0.270000,0.370000,0.290000
1619935281.481,0.210000,0.350000,0.280000
1619935296.481,0.160000,0.330000,0.280000
1619935311.481,0.120000,0.320000,0.270000
1619935326.481,0.100000,0.300000,0.270000
1619935341.481,0.070000,0.290000,0.260000
1619935356.481,0.060000,0.270000,0.260000
1619935371.481,0.040000,0.260000,0.250000
1619935386.481,0.030000,0.240000,0.250000
1619935401.481,0.030000,0.230000,0.250000
1619935416.481,0.020000,0.220000,0.240000
1619935431.481,0.020000,0.210000,0.240000
1619935446.481,0.010000,0.200000,0.230000
1619935461.481,0.010000,0.190000,0.230000
1619935476.481,0.620000,0.320000,0.270000
1619935491.481,0.610000,0.340000,0.280000
1619935506.481,0.610000,0.360000,0.280000
1619935521.481,0.610000,0.370000,0.290000
1619935536.481,0.610000,0.380000,0.290000
1619935551.481,0.540000,0.380000,0.290000
1619935566.481,0.420000,0.360000,0.290000
1619935581.481,0.330000,0.340000,0.280000
1619935596.481,0.260000,0.330000,0.280000
1619935611.481,0.200000,0.310000,0.270000
1619935626.481,0.150000,0.290000,0.270000
1619935641.481,0.120000,0.280000,0.260000
1619935656.481,0.090000,0.260000,0.260000
1619935671.481,0.070000,0.250000,0.250000
1619935686.481,0.050000,0.240000,0.250000
1619935701.481,0.040000,0.220000,0.240000
1619935716.481,0.110000,0.230000,0.250000
1619935731.481,0.160000,0.230000,0.250000
1619935746.481,0.270000,0.260000,0.250000
1619935761.481,0.290000,0.260000,0.260000
1619935776.481,0.370000,0.280000,0.260000
1619935791.481,0.360000,0.280000,0.270000
1619935806.481,0.430000,0.300000,0.270000
1619935821.481,0.410000,0.300000,0.270000
1619935836.481,0.470000,0.320000,0.280000
1619935851.481,0.570000,0.350000,0.290000
1619935866.481,0.590000,0.370000,0.300000
1619935881.481,0.540000,0.370000,0.300000
1619935896.481,0.640000,0.400000,0.310000
1619935911.481,0.570000,0.400000,0.310000
1619935926.481,0.590000,0.410000,0.310000
1619935941.481,0.540000,0.410000,0.310000
1619935956.481,0.560000,0.420000,0.320000
