epoch,value
1620000966.481,0.27
1620000981.481,0.27
1620000996.481,0.29
1620001011.481,0.29
1620001026.481,0.29
1620001041.481,0.3
1620001056.481,0.31
1620001071.481,0.33
1620001086.481,0.35
1620001101.481,0.38
1620001116.481,0.43
1620001131.481,0.42
1620001146.481,0.43
1620001161.481,0.43
1620001176.481,0.42
1620001191.481,0.43
1620001206.481,0.44
1620001221.481,0.46
1620001236.481,0.5
1620001251.481,0.55
1620001266.481,0.57
1620001281.481,0.56
1620001296.481,0.55
1620001311.481,0.54
1620001326.481,0.59
1620001341.481,0.62
1620001356.481,0.72
1620001371.481,0.77
1620001386.481,0.83
1620001401.481,0.89
1620001416.481,0.88
1620001431.481,0.9
1620001446.481,0.89
1620001461.481,0.89
1620001476.481,0.88
1620001491.481,0.89
1620001506.481,0.89
1620001521.481,0.9
1620001536.481,0.94
1620001551.481,0.94
1620001566.481,0.92
1620001581.481,0.92
1620001596.481,0.91
1620001611.481,0.89
1620001626.481,0.9
1620001641.481,0.93
1620001656.481,0.97
1620001671.481,1.04
1620001686.481,1.11
1620001701.481,1.09
1620001716.481,1.1
1620001731.481,1.1
1620001746.481,1.08
1620001761.481,1.09
1620001776.481,1.1
1620001791.481,1.1
1620001806.481,1.15
1620001821.481,1.2
1620001836.481,1.21
1620001851.481,1.21
1620001866.481,1.27
1620001881.481,1.36
1620001896.481,1.44
1620001911.481,1.52
1620001926.481,1.6
1620001941.481,1.74
1620001956.481,1.91
1620001971.481,2.01
1620001986.481,2.09
1620002001.481,2.18
1620002016.481,2.29
1620002031.481,2.43
1620002046.481,2.52
1620002061.481,2.58
1620002076.481,2.64
1620002091.481,2.67
1620002106.481,2.67
1620002121.481,2.62
1620002136.481,2.62
1620002151.481,2.59
1620002166.481,2.56
1620002181.481,2.54
1620002196.481,2.52
1620002211.481,2.51
1620002226.481,2.51
1620002241.481,2.53
1620002256.481,2.51
1620002271.481,2.48
1620002286.481,2.54
1620002301.481,2.61
1620002316.481,2.69
1620002331.481,2.75
1620002346.481,2.83
1620002361.481,2.91
1620002376.481,2.98
1620002391.481,3.02
1620002406.481,3.07
1620002421.481,3.11
1620002436.481,3.17
1620002451.481,3.24
1620002466.481,3.26
1620002481.481,3.26
1620002496.481,3.23
1620002511.481,3.18
1620002526.481,3.13
1620002541.481,3.08
1620002556.481,3.05
1620002571.481,3.06
1620002586.481,3.06
1620002601.481,3.07
1620002616.481,3.09
1620002631.481,3.1
