epoch,value
1620000966.481,0.29
1620000981.481,0.3
1620000996.481,0.35
1620001011.481,0.35
1620001026.481,0.36
1620001041.481,0.38
1620001056.481,0.41
1620001071.481,0.47
1620001086.481,0.51
1620001101.481,0.6
1620001116.481,0.74
1620001131.481,0.7
1620001146.481,0.72
1620001161.481,0.68
1620001176.481,0.65
1620001191.481,0.66
1620001206.481,0.7
1620001221.481,0.73
1620001236.481,0.84
1620001251.481,0.98
1620001266.481,1.03
1620001281.481,0.98
1620001296.481,0.93
1620001311.481,0.88
1620001326.481,1.01
1620001341.481,1.07
1620001356.481,1.35
1620001371.481,1.48
1620001386.481,1.64
1620001401.481,1.77
1620001416.481,1.7
1620001431.481,1.71
1620001446.481,1.64
1620001461.481,1.6
1620001476.481,1.53
1620001491.481,1.52
1620001506.481,1.5
1620001521.481,1.51
1620001536.481,1.58
1620001551.481,1.55
1620001566.481,1.47
1620001581.481,1.45
1620001596.481,1.38
1620001611.481,1.31
1620001626.481,1.31
1620001641.481,1.38
1620001656.481,1.49
1620001671.481,1.66
1620001686.481,1.84
1620001701.481,1.75
1620001716.481,1.76
1620001731.481,1.71
1620001746.481,1.64
1620001761.481,1.64
1620001776.481,1.63
1620001791.481,1.63
1620001806.481,1.73
1620001821.481,1.88
1620001836.481,1.87
1620001851.481,1.82
1620001866.481,2.0
1620001881.481,2.24
1620001896.481,2.43
1620001911.481,2.63
1620001926.481,2.82
1620001941.481,3.19
1620001956.481,3.62
1620001971.481,3.83
1620001986.481,4.01
1620002001.481,4.17
1620002016.481,4.42
1620002031.481,4.75
1620002046.481,4.91
1620002061.481,4.98
1620002076.481,5.04
1620002091.481,5.01
1620002106.481,4.88
1620002121.481,4.64
1620002136.481,4.54
1620002151.481,4.34
1620002166.481,4.15
1620002181.481,4.02
1620002196.481,3.9
1620002211.481,3.79
1620002226.481,3.74
1620002241.481,3.75
1620002256.481,3.63
1620002271.481,3.47
1620002286.481,3.61
1620002301.481,3.78
1620002316.481,3.97
1620002331.481,4.08
1620002346.481,4.26
1620002361.481,4.43
1620002376.481,4.57
1620002391.481,4.61
1620002406.481,4.7
1620002421.481,4.73
1620002436.481,4.83
1620002451.481,4.97
1620002466.481,4.93
1620002481.481,4.84
1620002496.481,4.68
1620002511.481,4.45
1620002526.481,4.23
1620002541.481,4.04
1620002556.481,3.89
1620002571.481,3.9
1620002586.481,3.84
1620002601.481,3.83
1620002616.481,3.85
1620002631.481,3.86
