epoch,value
1620000966.481,0.47
1620000981.481,0.44
1620000996.481,0.65
1620001011.481,0.58
1620001026.481,0.6
1620001041.481,0.62
1620001056.481,0.71
1620001071.481,0.92
1620001086.481,1.02
1620001101.481,1.32
1620001116.481,1.75
1620001131.481,1.36
1620001146.481,1.29
1620001161.481,1.0
1620001176.481,0.78
1620001191.481,0.83
1620001206.481,0.94
1620001221.481,1.03
1620001236.481,1.46
1620001251.481,1.95
1620001266.481,1.94
1620001281.481,1.51
1620001296.481,1.17
1620001311.481,0.91
1620001326.481,1.51
1620001341.481,1.7
1620001356.481,2.88
1620001371.481,3.13
1620001386.481,3.48
1620001401.481,3.63
1620001416.481,2.9
1620001431.481,2.7
1620001446.481,2.18
1620001461.481,1.84
1620001476.481,1.51
1620001491.481,1.46
1620001506.481,1.36
1620001521.481,1.43
1620001536.481,1.78
1620001551.481,1.59
1620001566.481,1.24
1620001581.481,1.17
1620001596.481,0.91
1620001611.481,0.71
1620001626.481,0.84
1620001641.481,1.25
1620001656.481,1.79
1620001671.481,2.52
1620001686.481,3.11
1620001701.481,2.42
1620001716.481,2.32
1620001731.481,1.95
1620001746.481,1.59
1620001761.481,1.62
1620001776.481,1.55
1620001791.481,1.58
1620001806.481,2.05
1620001821.481,2.63
1620001836.481,2.41
1620001851.481,2.09
1620001866.481,2.85
1620001881.481,3.77
1620001896.481,4.26
1620001911.481,4.79
1620001926.481,5.14
1620001941.481,6.33
1620001956.481,7.57
1620001971.481,7.67
1620001986.481,7.59
1620002001.481,7.53
1620002016.481,7.96
1620002031.481,8.63
1620002046.481,8.49
1620002061.481,8.0
1620002076.481,7.63
1620002091.481,6.9
1620002106.481,5.87
1620002121.481,4.57
1620002136.481,4.18
1620002151.481,3.33
1620002166.481,2.74
1620002181.481,2.44
1620002196.481,2.27
1620002211.481,2.13
1620002226.481,2.26
1620002241.481,2.66
1620002256.481,2.36
1620002271.481,1.91
1620002286.481,2.92
1620002301.481,3.81
1620002316.481,4.68
1620002331.481,5.04
1620002346.481,5.61
1620002361.481,6.09
1620002376.481,6.35
1620002391.481,6.13
1620002406.481,6.18
1620002421.481,5.99
1620002436.481,6.16
1620002451.481,6.51
1620002466.481,6.02
1620002481.481,5.35
1620002496.481,4.53
1620002511.481,3.52
1620002526.481,2.74
1620002541.481,2.21
1620002556.481,1.95
1620002571.481,2.34
1620002586.481,2.41
1620002601.481,2.7
1620002616.481,3.06
1620002631.481,3.26
