epoch,value
1620000966.481,70828105.728
1620000981.481,70828703.744
1620000996.481,70831222.784
1620001011.481,70831730.688
1620001026.481,70831927.296
1620001041.481,70832656.384
1620001056.481,70833958.912
1620001071.481,70834176.0
1620001086.481,70834925.568
1620001101.481,70835494.912
1620001116.481,70835421.184
1620001131.481,70834126.848
1620001146.481,70836211.712
1620001161.481,70836408.32
1620001176.481,70836834.304
1620001191.481,70837571.584
1620001206.481,70837768.192
1620001221.481,70838185.984
1620001236.481,70838894.592
1620001251.481,70839533.568
1620001266.481,70839455.744
1620001281.481,70838095.872
1620001296.481,70839513.088
1620001311.481,70839721.984
1620001326.481,70841196.544
1620001341.481,70841749.504
1620001356.481,70842445.824
1620001371.481,70843064.32
1620001386.481,70843736.064
1620001401.481,70842855.424
1620001416.481,70841307.136
1620001431.481,70844141.568
1620001446.481,70844329.984
1620001461.481,70844735.488
1620001476.481,70844985.344
1620001491.481,70845333.504
1620001506.481,70845947.904
1620001521.481,70846672.896
1620001536.481,70847234.048
1620001551.481,70846574.592
1620001566.481,70846332.928
1620001581.481,70848159.744
1620001596.481,70848368.64
1620001611.481,70848876.544
1620001626.481,70849970.176
1620001641.481,70850535.424
1620001656.481,70851297.28
1620001671.481,70851862.528
1620001686.481,70850723.84
1620001701.481,70849396.736
1620001716.481,70851899.392
1620001731.481,70852255.744
1620001746.481,70852505.6
1620001761.481,70853226.496
1620001776.481,70853632.0
1620001791.481,70853853.184
1620001806.481,70854414.336
1620001821.481,70855544.832
1620001836.481,70855331.84
1620001851.481,70854578.176
1620001866.481,70858375.168
1620001881.481,70858584.064
1620001896.481,70858964.992
1620001911.481,70859177.984
1620001926.481,70859337.728
1620001941.481,70860197.888
1620001956.481,70860943.36
1620001971.481,70861148.16
1620001986.481,70861541.376
1620002001.481,70861742.08
1620002016.481,70862147.584
1620002031.481,70862393.344
1620002046.481,70862766.08
1620002061.481,70862753.792
1620002076.481,70863097.856
1620002091.481,70862163.968
1620002106.481,70861856.768
1620002121.481,70860636.16
1620002136.481,70862798.848
1620002151.481,70863216.64
1620002166.481,70863413.248
1620002181.481,70864138.24
1620002196.481,70864556.032
1620002211.481,70864764.928
1620002226.481,70865281.024
1620002241.481,70865825.792
1620002256.481,70865317.888
1620002271.481,70865293.312
1620002286.481,70869032.96
1620002301.481,70869225.472
1620002316.481,70869630.976
1620002331.481,70869835.776
1620002346.481,70869757.952
1620002361.481,70870167.552
1620002376.481,70870564.864
1620002391.481,70870814.72
1620002406.481,70871150.592
1620002421.481,70871351.296
1620002436.481,70871617.536
1620002451.481,70871732.224
1620002466.481,70872125.44
1620002481.481,70871875.584
1620002496.481,70871875.584
1620002511.481,70879051.776
1620002526.481,70880399.36
1620002541.481,70880604.16
1620002556.481,70881009.664
1620002571.481,70882279.424
1620002586.481,70882807.808
1620002601.481,70883586.048
1620002616.481,70884139.008
1620002631.481,70884335.616
