epoch,value
1620000966.481,119546781.696
1620000981.481,119547809.792
1620000996.481,119169236.992
1620001011.481,119084281.856
1620001026.481,119087017.984
1620001041.481,118741807.104
1620001056.481,118740692.992
1620001071.481,118741417.984
1620001086.481,118405849.088
1620001101.481,118057578.496
1620001116.481,119057457.152
1620001131.481,119536918.528
1620001146.481,119064641.536
1620001161.481,119068868.608
1620001176.481,119070359.552
1620001191.481,118728728.576
1620001206.481,118729580.544
1620001221.481,118724685.824
1620001236.481,118388183.04
1620001251.481,118042923.008
1620001266.481,119052111.872
1620001281.481,119539306.496
1620001296.481,119541186.56
1620001311.481,119543750.656
1620001326.481,119206502.4
1620001341.481,118866599.936
1620001356.481,118523850.752
1620001371.481,118180888.576
1620001386.481,117850959.872
1620001401.481,119526645.76
1620001416.481,119534125.056
1620001431.481,119073816.576
1620001446.481,119077490.688
1620001461.481,119081218.048
1620001476.481,119081209.856
1620001491.481,119081472.0
1620001506.481,118737006.592
1620001521.481,118397800.448
1620001536.481,118056951.808
1620001551.481,119537274.88
1620001566.481,119544291.328
1620001581.481,119080517.632
1620001596.481,119082848.256
1620001611.481,118875140.096
1620001626.481,118394564.608
1620001641.481,118073671.68
1620001656.481,117703684.096
1620001671.481,117390819.328
1620001686.481,119000449.024
1620001701.481,119490834.432
1620001716.481,119031590.912
1620001731.481,119033556.992
1620001746.481,119020802.048
1620001761.481,118676869.12
1620001776.481,118674767.872
1620001791.481,118671503.36
1620001806.481,118326214.656
1620001821.481,117940412.416
1620001836.481,118982434.816
1620001851.481,119465832.448
1620001866.481,117469224.96
1620001881.481,117466914.816
1620001896.481,117463736.32
1620001911.481,117469188.096
1620001926.481,117728022.528
1620001941.481,117074833.408
1620001956.481,116915982.336
1620001971.481,116887162.88
1620001986.481,116851036.16
1620002001.481,116847792.128
1620002016.481,116671496.192
1620002031.481,116771520.512
1620002046.481,116878630.912
1620002061.481,117227368.448
1620002076.481,117289648.128
1620002091.481,118532091.904
1620002106.481,119365550.08
1620002121.481,119368335.36
1620002136.481,118907510.784
1620002151.481,118920531.968
1620002166.481,118920261.632
1620002181.481,118574981.12
1620002196.481,118576103.424
1620002211.481,118575337.472
1620002226.481,118233214.976
1620002241.481,118169796.608
1620002256.481,119368687.616
1620002271.481,119373201.408
1620002286.481,117331546.112
1620002301.481,117332447.232
1620002316.481,117333639.168
1620002331.481,117338947.584
1620002346.481,117657751.552
1620002361.481,117527658.496
1620002376.481,117693722.624
1620002391.481,117702385.664
1620002406.481,117713379.328
1620002421.481,117726240.768
1620002436.481,117647769.6
1620002451.481,118041579.52
1620002466.481,118101700.608
1620002481.481,118754693.12
1620002496.481,119411617.792
1620002511.481,119408009.216
1620002526.481,119409954.816
1620002541.481,119412228.096
1620002556.481,119415033.856
1620002571.481,119231221.76
1620002586.481,118896046.08
1620002601.481,118549929.984
1620002616.481,118207770.624
1620002631.481,118874923.008
