epoch,value
1620000966.481,6827425.792
1620000981.481,6826782.72
1620000996.481,7201652.736
1620001011.481,7286034.432
1620001026.481,7283130.368
1620001041.481,7627386.88
1620001056.481,7627620.352
1620001071.481,7626604.544
1620001086.481,7961628.672
1620001101.481,8308695.04
1620001116.481,7309385.728
1620001131.481,6831849.472
1620001146.481,7301910.528
1620001161.481,7297433.6
1620001176.481,7295696.896
1620001191.481,7636549.632
1620001206.481,7636000.768
1620001221.481,7640166.4
1620001236.481,7976431.616
1620001251.481,8320430.08
1620001266.481,7311593.472
1620001281.481,6826258.432
1620001296.481,6822756.352
1620001311.481,6820163.584
1620001326.481,7155503.104
1620001341.481,7494823.936
1620001356.481,7837081.6
1620001371.481,8178294.784
1620001386.481,8506486.784
1620001401.481,6832844.8
1620001416.481,6827073.536
1620001431.481,7284551.68
1620001446.481,7280652.288
1620001461.481,7276535.808
1620001476.481,7276417.024
1620001491.481,7275741.184
1620001506.481,7620427.776
1620001521.481,7958769.664
1620001536.481,8298565.632
1620001551.481,6818947.072
1620001566.481,6812241.92
1620001581.481,7274074.112
1620001596.481,7271522.304
1620001611.481,7478636.544
1620001626.481,7958171.648
1620001641.481,8277909.504
1620001656.481,8646135.808
1620001671.481,8957202.432
1620001686.481,7349366.784
1620001701.481,6862082.048
1620001716.481,7317905.408
1620001731.481,7315517.44
1620001746.481,7327555.584
1620001761.481,7671025.664
1620001776.481,7672803.328
1620001791.481,7675904.0
1620001806.481,8021020.672
1620001821.481,8405577.728
1620001836.481,7365431.296
1620001851.481,6883074.048
1620001866.481,8872804.352
1620001881.481,8874840.064
1620001896.481,8876789.76
1620001911.481,8871575.552
1620001926.481,8612851.712
1620001941.481,9261670.4
1620001956.481,9418768.384
1620001971.481,9447874.56
1620001986.481,9483087.872
1620002001.481,9486704.64
1620002016.481,9660190.72
1620002031.481,9560440.832
1620002046.481,9454006.272
1620002061.481,9105371.136
1620002076.481,9043210.24
1620002091.481,7803879.424
1620002106.481,6972219.392
1620002121.481,6970322.944
1620002136.481,7430356.992
1620002151.481,7417303.04
1620002166.481,7417462.784
1620002181.481,7762329.6
1620002196.481,7760752.64
1620002211.481,7761235.968
1620002226.481,8103276.544
1620002241.481,8166019.072
1620002256.481,6967975.936
1620002271.481,6963429.376
1620002286.481,8997801.984
1620002301.481,8995246.08
1620002316.481,8995172.352
1620002331.481,8989196.288
1620002346.481,8671191.04
1620002361.481,8799854.592
1620002376.481,8633229.312
1620002391.481,8624541.696
1620002406.481,8613199.872
1620002421.481,8599834.624
1620002436.481,8677183.488
1620002451.481,8283774.976
1620002466.481,8223535.104
1620002481.481,7571128.32
1620002496.481,6916063.232
1620002511.481,6912299.008
1620002526.481,6909124.608
1620002541.481,6906286.08
1620002556.481,6903189.504
1620002571.481,7086497.792
1620002586.481,7421599.744
1620002601.481,7766994.944
1620002616.481,8109207.552
1620002631.481,7441952.768
