epoch,value
1620000954.2410002,69202882.56
1620000969.2410002,69202890.752
1620000984.2410002,69203402.752
1620000999.2410002,69204041.728
1620001014.2410002,69204049.92
1620001029.2410002,69204058.112
1620001044.2410002,69204193.28
1620001059.2410002,69204320.256
1620001074.2410002,69204328.448
1620001089.2410002,69204332.544
1620001104.2410002,69204733.952
1620001119.2410002,69204164.608
1620001134.2410002,69204176.896
1620001149.2410002,69204803.584
1620001164.2410002,69204877.312
1620001179.2410002,69204901.888
1620001194.2410002,69205966.848
1620001209.2410002,69205987.328
1620001224.2410002,69205999.616
1620001239.2410002,69206016.0
1620001254.2410002,69206028.288
1620001269.2410002,69204996.096
1620001284.2410002,69206061.056
1620001299.2410002,69206114.304
1620001314.2410002,69206118.4
1620001329.2410002,69206196.224
1620001344.2410002,69206208.512
1620001359.2410002,69206355.968
1620001374.2410002,69206364.16
1620001389.2410002,69206507.52
1620001404.2410002,69206233.088
1620001419.2410002,69206269.952
1620001434.2410002,69207207.936
1620001449.2410002,69207216.128
1620001464.2410002,69207228.416
1620001479.2410002,69207248.896
1620001494.2410002,69207388.16
1620001509.2410002,69207400.448
1620001524.2410002,69208027.136
1620001539.2410002,69208047.616
1620001554.2410002,69207474.176
1620001569.2410002,69208080.384
1620001584.2410002,69208150.016
1620001599.2410002,69208182.784
1620001614.2410002,69208330.24
1620001629.2410002,69208354.816
1620001644.2410002,69208354.816
1620001659.2410002,69208383.488
1620001674.2410002,69208379.392
1620001689.2410002,69207805.952
1620001704.2410002,69207666.688
1620001719.2410002,69208313.856
1620001734.2410002,69208453.12
1620001749.2410002,69208465.408
1620001764.2410002,69208473.6
1620001779.2410002,69208481.792
1620001794.2410002,69208625.152
1620001809.2410002,69208637.44
1620001824.2410002,69208842.24
1620001839.2410002,69208281.088
1620001854.2410002,69209964.544
1620001869.2410002,69209993.216
1620001884.2410002,69210509.312
1620001899.2410002,69210529.792
1620001914.2410002,69210669.056
1620001929.2410002,69210652.672
1620001944.2410002,69210783.744
1620001959.2410002,69210546.176
1620001974.2410002,69210824.704
1620001989.2410002,69210832.896
1620002004.2410002,69211029.504
1620002019.2410002,69211045.888
1620002034.2410002,69211049.984
1620002049.2410002,69211209.728
1620002064.2410002,69211209.728
1620002079.2410002,69211291.648
1620002094.2410002,69211414.528
1620002109.2410002,69210841.088
1620002124.2410002,69210845.184
1620002139.2410002,69211484.16
1620002154.2410002,69211537.408
1620002169.2410002,69211676.672
1620002184.2410002,69208682.496
1620002199.2410002,69208686.592
1620002214.2410002,69208715.264
1620002229.2410002,69208719.36
1620002244.2410002,69208788.992
1620002259.2410002,69208309.76
1620002274.2410002,69209059.328
1620002289.2410002,69209100.288
1620002304.2410002,69206061.056
1620002319.2410002,69206130.688
1620002334.2410002,69206147.072
1620002349.2410002,69206228.992
1620002364.2410002,69206310.912
1620002379.2410002,69206515.712
1620002394.2410002,69206585.344
1620002409.2410002,69206609.92
1620002424.2410002,69206618.112
1620002439.2410002,69206618.112
1620002454.2410002,69206638.592
1620002469.2410002,69206638.592
1620002484.2410002,69206646.784
1620002499.2410002,69206228.992
1620002514.2410002,69207691.264
1620002529.2410002,69208375.296
1620002544.2410002,69208387.584
1620002559.2410002,69208399.872
1620002574.2410002,69208424.448
1620002589.2410002,69208444.928
1620002604.2410002,69208821.76
1620002619.2410002,69208834.048
