epoch,value
1620000954.2410002,7622946.816
1620000969.2410002,7613616.128
1620000984.2410002,7437615.104
1620000999.2410002,7174074.368
1620001014.2410002,7149727.744
1620001029.2410002,7130284.032
1620001044.2410002,7106527.232
1620001059.2410002,7087374.336
1620001074.2410002,7064350.72
1620001089.2410002,7047962.624
1620001104.2410002,7020666.88
1620001119.2410002,7062036.48
1620001134.2410002,7201583.104
1620001149.2410002,6957498.368
1620001164.2410002,6939799.552
1620001179.2410002,6917296.128
1620001194.2410002,6895484.928
1620001209.2410002,6873174.016
1620001224.2410002,6855143.424
1620001239.2410002,6830981.12
1620001254.2410002,6810636.288
1620001269.2410002,6850035.712
1620001284.2410002,6770147.328
1620001299.2410002,6744899.584
1620001314.2410002,6726365.184
1620001329.2410002,6702706.688
1620001344.2410002,6930042.88
1620001359.2410002,6920278.016
1620001374.2410002,6907572.224
1620001389.2410002,6896312.32
1620001404.2410002,6952407.04
1620001419.2410002,7009558.528
1620001434.2410002,6857945.088
1620001449.2410002,6846648.32
1620001464.2410002,6836609.024
1620001479.2410002,6824943.616
1620001494.2410002,6815764.48
1620001509.2410002,6801043.456
1620001524.2410002,6792728.576
1620001539.2410002,6779850.752
1620001554.2410002,6838771.712
1620001569.2410002,8424742.912
1620001584.2410002,8427626.496
1620001599.2410002,8422182.912
1620001614.2410002,8423972.864
1620001629.2410002,8422473.728
1620001644.2410002,8422240.256
1620001659.2410002,8422866.944
1620001674.2410002,8422346.752
1620001689.2410002,8474345.472
1620001704.2410002,8535506.944
1620001719.2410002,8421797.888
1620001734.2410002,8422141.952
1620001749.2410002,8423829.504
1620001764.2410002,8422670.336
1620001779.2410002,8422559.744
1620001794.2410002,8422334.464
1620001809.2410002,8418398.208
1620001824.2410002,8421040.128
1620001839.2410002,8562806.784
1620001854.2410002,8418869.248
1620001869.2410002,8414838.784
1620001884.2410002,8417759.232
1620001899.2410002,8415260.672
1620001914.2410002,8418947.072
1620001929.2410002,8415584.256
1620001944.2410002,8414523.392
1620001959.2410002,8415305.728
1620001974.2410002,8416079.872
1620001989.2410002,8415526.912
1620002004.2410002,8413163.52
1620002019.2410002,8416870.4
1620002034.2410002,8413618.176
1620002049.2410002,8416387.072
1620002064.2410002,8415752.192
1620002079.2410002,8415973.376
1620002094.2410002,8414863.36
1620002109.2410002,8505856.0
1620002124.2410002,8524398.592
1620002139.2410002,8402247.68
1620002154.2410002,8402894.848
1620002169.2410002,8399892.48
1620002184.2410002,8405880.832
1620002199.2410002,8404201.472
1620002214.2410002,8406822.912
1620002229.2410002,8402944.0
1620002244.2410002,8403910.656
1620002259.2410002,8475176.96
1620002274.2410002,8424067.072
1620002289.2410002,8427044.864
1620002304.2410002,8428687.36
1620002319.2410002,8429334.528
1620002334.2410002,8428843.008
1620002349.2410002,8427438.08
1620002364.2410002,8427884.544
1620002379.2410002,8427470.848
1620002394.2410002,8426266.624
1620002409.2410002,8425578.496
1620002424.2410002,8426729.472
1620002439.2410002,8416878.592
1620002454.2410002,8406061.056
1620002469.2410002,8391843.84
1620002484.2410002,8383959.04
1620002499.2410002,8396673.024
1620002514.2410002,8382377.984
1620002529.2410002,8329523.2
1620002544.2410002,8320221.184
1620002559.2410002,8306290.688
1620002574.2410002,8295342.08
1620002589.2410002,8281075.712
1620002604.2410002,8276742.144
1620002619.2410002,8259436.544
