epoch,value
1620000954.2410002,38270889.984
1620000969.2410002,38279761.92
1620000984.2410002,38455889.92
1620000999.2410002,38718959.616
1620001014.2410002,38743347.2
1620001029.2410002,38762745.856
1620001044.2410002,38785974.272
1620001059.2410002,38804938.752
1620001074.2410002,38827540.48
1620001089.2410002,38843097.088
1620001104.2410002,38870560.768
1620001119.2410002,38830071.808
1620001134.2410002,38689382.4
1620001149.2410002,38933979.136
1620001164.2410002,38950514.688
1620001179.2410002,38973657.088
1620001194.2410002,38994665.472
1620001209.2410002,39017000.96
1620001224.2410002,39035142.144
1620001239.2410002,39059333.12
1620001254.2410002,39080124.416
1620001269.2410002,39041822.72
1620001284.2410002,39121137.664
1620001299.2410002,39146405.888
1620001314.2410002,39165005.824
1620001329.2410002,39188647.936
1620001344.2410002,38961270.784
1620001359.2410002,38971191.296
1620001374.2410002,38983749.632
1620001389.2410002,38994518.016
1620001404.2410002,38938599.424
1620001419.2410002,38881533.952
1620001434.2410002,39031504.896
1620001449.2410002,39042568.192
1620001464.2410002,39051972.608
1620001479.2410002,39063912.448
1620001494.2410002,39073083.392
1620001509.2410002,39087833.088
1620001524.2410002,39095468.032
1620001539.2410002,39108341.76
1620001554.2410002,39050915.84
1620001569.2410002,37464125.44
1620001584.2410002,37461516.288
1620001599.2410002,37466984.448
1620001614.2410002,37465120.768
1620001629.2410002,37466525.696
1620001644.2410002,37466906.624
1620001659.2410002,37466284.032
1620001674.2410002,37466841.088
1620001689.2410002,37414801.408
1620001704.2410002,37354274.816
1620001719.2410002,37467136.0
1620001734.2410002,37466701.824
1620001749.2410002,37464879.104
1620001764.2410002,37466202.112
1620001779.2410002,37466222.592
1620001794.2410002,37466292.224
1620001809.2410002,37470527.488
1620001824.2410002,37467832.32
1620001839.2410002,37327175.68
1620001854.2410002,37469159.424
1620001869.2410002,37473333.248
1620001884.2410002,37469540.352
1620001899.2410002,37471731.712
1620001914.2410002,37467787.264
1620001929.2410002,37471252.48
1620001944.2410002,37471940.608
1620001959.2410002,37471305.728
1620001974.2410002,37470715.904
1620001989.2410002,37470748.672
1620002004.2410002,37472677.888
1620002019.2410002,37469151.232
1620002034.2410002,37472174.08
1620002049.2410002,37468844.032
1620002064.2410002,37469687.808
1620002079.2410002,37469249.536
1620002094.2410002,37470154.752
1620002109.2410002,37379846.144
1620002124.2410002,37361537.024
1620002139.2410002,37482696.704
1620002154.2410002,37481914.368
1620002169.2410002,37485252.608
1620002184.2410002,37482000.384
1620002199.2410002,37483831.296
1620002214.2410002,37481230.336
1620002229.2410002,37485301.76
1620002244.2410002,37483823.104
1620002259.2410002,37413273.6
1620002274.2410002,37464264.704
1620002289.2410002,37461061.632
1620002304.2410002,37462663.168
1620002319.2410002,37461884.928
1620002334.2410002,37462417.408
1620002349.2410002,37464166.4
1620002364.2410002,37463580.672
1620002379.2410002,37463748.608
1620002394.2410002,37465092.096
1620002409.2410002,37465739.264
1620002424.2410002,37464559.616
1620002439.2410002,37474562.048
1620002454.2410002,37485457.408
1620002469.2410002,37499551.744
1620002484.2410002,37507383.296
1620002499.2410002,37494403.072
1620002514.2410002,37507592.192
1620002529.2410002,37559635.968
1620002544.2410002,37568917.504
1620002559.2410002,37582856.192
1620002574.2410002,37593731.072
1620002589.2410002,37607309.312
1620002604.2410002,37611393.024
1620002619.2410002,37628743.68
