epoch,value
1620000958.4020002,0.0
1620000973.4020002,0.0
1620000988.4020002,0.0
1620001003.4020002,0.05
1620001018.4020002,0.16
1620001033.4020002,0.28
1620001048.4020002,0.4
1620001063.4020002,0.49
1620001078.4020002,0.61
1620001093.4020002,0.75
1620001108.4020002,0.87
1620001123.4020002,0.93
1620001138.4020002,0.91
1620001153.4020002,0.94
1620001168.4020002,1.03
1620001183.4020002,1.12
1620001198.4020002,1.24
1620001213.4020002,1.32
1620001228.4020002,1.46
1620001243.4020002,1.56
1620001258.4020002,1.66
1620001273.4020002,1.64
1620001288.4020002,1.65
1620001303.4020002,1.79
1620001318.4020002,1.86
1620001333.4020002,1.98
1620001348.4020002,2.04
1620001363.4020002,2.09
1620001378.4020002,2.19
1620001393.4020002,2.24
1620001408.4020002,2.23
1620001423.4020002,2.2
1620001438.4020002,2.24
1620001453.4020002,2.31
1620001468.4020002,2.39
1620001483.4020002,2.52
1620001498.4020002,2.6
1620001513.4020002,2.71
1620001528.4020002,2.8
1620001543.4020002,2.86
1620001558.4020002,2.81
1620001573.4020002,2.77
1620001588.4020002,2.88
1620001603.4020002,2.94
1620001618.4020002,3.01
1620001633.4020002,3.05
1620001648.4020002,3.1
1620001663.4020002,3.19
1620001678.4020002,3.22
1620001693.4020002,3.19
1620001708.4020002,3.14
1620001723.4020002,3.13
1620001738.4020002,3.2
1620001753.4020002,3.25
1620001768.4020002,3.36
1620001783.4020002,3.42
1620001798.4020002,3.53
1620001813.4020002,3.64
1620001828.4020002,3.7
1620001843.4020002,3.64
1620001858.4020002,3.58
1620001873.4020002,3.53
1620001888.4020002,3.47
1620001903.4020002,3.42
1620001918.4020002,3.37
1620001933.4020002,3.32
1620001948.4020002,3.26
1620001963.4020002,3.24
1620001978.4020002,3.22
1620001993.4020002,3.21
1620002008.4020002,3.2
1620002023.4020002,3.2
1620002038.4020002,3.22
1620002053.4020002,3.23
1620002068.4020002,3.22
1620002083.4020002,3.2
1620002098.4020002,3.15
1620002113.4020002,3.1
1620002128.4020002,3.05
1620002143.4020002,3.06
1620002158.4020002,3.12
1620002173.4020002,3.17
1620002188.4020002,3.26
1620002203.4020002,3.32
1620002218.4020002,3.43
1620002233.4020002,3.5
1620002248.4020002,3.54
1620002263.4020002,3.48
1620002278.4020002,3.44
1620002293.4020002,3.38
1620002308.4020002,3.33
1620002323.4020002,3.27
1620002338.4020002,3.22
1620002353.4020002,3.18
1620002368.4020002,3.17
1620002383.4020002,3.2
1620002398.4020002,3.26
1620002413.4020002,3.31
1620002428.4020002,3.36
1620002443.4020002,3.41
1620002458.4020002,3.45
1620002473.4020002,3.49
1620002488.4020002,3.48
1620002503.4020002,3.44
1620002518.4020002,3.38
1620002533.4020002,3.4
1620002548.4020002,3.45
1620002563.4020002,3.53
1620002578.4020002,3.63
1620002593.4020002,3.7
1620002608.4020002,3.78
1620002623.4020002,3.82
