epoch,value
1620000958.4020002,0.03
1620000973.4020002,0.02
1620000988.4020002,0.02
1620001003.4020002,0.19
1620001018.4020002,0.51
1620001033.4020002,0.84
1620001048.4020002,1.19
1620001063.4020002,1.43
1620001078.4020002,1.75
1620001093.4020002,2.12
1620001108.4020002,2.43
1620001123.4020002,2.52
1620001138.4020002,2.39
1620001153.4020002,2.39
1620001168.4020002,2.62
1620001183.4020002,2.82
1620001198.4020002,3.07
1620001213.4020002,3.25
1620001228.4020002,3.56
1620001243.4020002,3.78
1620001258.4020002,3.95
1620001273.4020002,3.81
1620001288.4020002,3.7
1620001303.4020002,4.04
1620001318.4020002,4.16
1620001333.4020002,4.39
1620001348.4020002,4.46
1620001363.4020002,4.5
1620001378.4020002,4.69
1620001393.4020002,4.7
1620001408.4020002,4.57
1620001423.4020002,4.34
1620001438.4020002,4.38
1620001453.4020002,4.49
1620001468.4020002,4.61
1620001483.4020002,4.89
1620001498.4020002,5.01
1620001513.4020002,5.24
1620001528.4020002,5.39
1620001543.4020002,5.44
1620001558.4020002,5.17
1620001573.4020002,4.92
1620001588.4020002,5.17
1620001603.4020002,5.22
1620001618.4020002,5.33
1620001633.4020002,5.35
1620001648.4020002,5.36
1620001663.4020002,5.54
1620001678.4020002,5.53
1620001693.4020002,5.32
1620001708.4020002,5.06
1620001723.4020002,4.93
1620001738.4020002,5.05
1620001753.4020002,5.13
1620001768.4020002,5.36
1620001783.4020002,5.44
1620001798.4020002,5.67
1620001813.4020002,5.91
1620001828.4020002,5.98
1620001843.4020002,5.69
1620001858.4020002,5.41
1620001873.4020002,5.16
1620001888.4020002,4.91
1620001903.4020002,4.68
1620001918.4020002,4.45
1620001933.4020002,4.25
1620001948.4020002,4.04
1620001963.4020002,3.92
1620001978.4020002,3.83
1620001993.4020002,3.77
1620002008.4020002,3.73
1620002023.4020002,3.71
1620002038.4020002,3.73
1620002053.4020002,3.76
1620002068.4020002,3.68
1620002083.4020002,3.6
1620002098.4020002,3.42
1620002113.4020002,3.26
1620002128.4020002,3.1
1620002143.4020002,3.14
1620002158.4020002,3.31
1620002173.4020002,3.46
1620002188.4020002,3.7
1620002203.4020002,3.88
1620002218.4020002,4.18
1620002233.4020002,4.37
1620002248.4020002,4.43
1620002263.4020002,4.22
1620002278.4020002,4.04
1620002293.4020002,3.84
1620002308.4020002,3.65
1620002323.4020002,3.47
1620002338.4020002,3.3
1620002353.4020002,3.19
1620002368.4020002,3.15
1620002383.4020002,3.25
1620002398.4020002,3.44
1620002413.4020002,3.56
1620002428.4020002,3.72
1620002443.4020002,3.84
1620002458.4020002,3.95
1620002473.4020002,4.03
1620002488.4020002,3.98
1620002503.4020002,3.82
1620002518.4020002,3.63
1620002533.4020002,3.68
1620002548.4020002,3.83
1620002563.4020002,4.05
1620002578.4020002,4.33
1620002593.4020002,4.49
1620002608.4020002,4.7
1620002623.4020002,4.78
