epoch,value
1620000958.4020002,0.02
1620000973.4020002,0.01
1620000988.4020002,0.01
1620001003.4020002,0.81
1620001018.4020002,2.1
1620001033.4020002,3.25
1620001048.4020002,4.32
1620001063.4020002,4.69
1620001078.4020002,5.42
1620001093.4020002,6.25
1620001108.4020002,6.72
1620001123.4020002,6.11
1620001138.4020002,4.76
1620001153.4020002,4.26
1620001168.4020002,4.86
1620001183.4020002,5.24
1620001198.4020002,5.82
1620001213.4020002,6.02
1620001228.4020002,6.85
1620001243.4020002,7.1
1620001258.4020002,7.15
1620001273.4020002,5.77
1620001288.4020002,4.89
1620001303.4020002,6.11
1620001318.4020002,6.16
1620001333.4020002,6.78
1620001348.4020002,6.53
1620001363.4020002,6.26
1620001378.4020002,6.67
1620001393.4020002,6.3
1620001408.4020002,5.31
1620001423.4020002,4.13
1620001438.4020002,4.36
1620001453.4020002,4.87
1620001468.4020002,5.35
1620001483.4020002,6.41
1620001498.4020002,6.61
1620001513.4020002,7.31
1620001528.4020002,7.54
1620001543.4020002,7.26
1620001558.4020002,5.65
1620001573.4020002,4.4
1620001588.4020002,5.59
1620001603.4020002,5.76
1620001618.4020002,6.14
1620001633.4020002,6.02
1620001648.4020002,5.95
1620001663.4020002,6.58
1620001678.4020002,6.31
1620001693.4020002,5.18
1620001708.4020002,4.03
1620001723.4020002,3.7
1620001738.4020002,4.5
1620001753.4020002,4.97
1620001768.4020002,6.04
1620001783.4020002,6.25
1620001798.4020002,7.1
1620001813.4020002,7.86
1620001828.4020002,7.75
1620001843.4020002,6.03
1620001858.4020002,4.69
1620001873.4020002,3.72
1620001888.4020002,2.9
1620001903.4020002,2.33
1620001918.4020002,1.81
1620001933.4020002,1.48
1620001948.4020002,1.15
1620001963.4020002,1.26
1620001978.4020002,1.44
1620001993.4020002,1.72
1620002008.4020002,2.01
1620002023.4020002,2.29
1620002038.4020002,2.65
1620002053.4020002,3.01
1620002068.4020002,2.86
1620002083.4020002,2.65
1620002098.4020002,2.07
1620002113.4020002,1.61
1620002128.4020002,1.25
1620002143.4020002,1.9
1620002158.4020002,2.95
1620002173.4020002,3.71
1620002188.4020002,4.7
1620002203.4020002,5.29
1620002218.4020002,6.36
1620002233.4020002,6.74
1620002248.4020002,6.48
1620002263.4020002,5.04
1620002278.4020002,4.07
1620002293.4020002,3.17
1620002308.4020002,2.47
1620002323.4020002,1.92
1620002338.4020002,1.49
1620002353.4020002,1.4
1620002368.4020002,1.62
1620002383.4020002,2.46
1620002398.4020002,3.46
1620002413.4020002,4.01
1620002428.4020002,4.6
1620002443.4020002,4.97
1620002458.4020002,5.17
1620002473.4020002,5.27
1620002488.4020002,4.77
1620002503.4020002,3.85
1620002518.4020002,3.0
1620002533.4020002,3.41
1620002548.4020002,4.13
1620002563.4020002,5.1
1620002578.4020002,6.09
1620002593.4020002,6.43
1620002608.4020002,6.92
1620002623.4020002,6.79
