epoch,value
1620000958.4020002,8556015.616
1620000973.4020002,8556015.616
1620000988.4020002,8556503.04
1620001003.4020002,8570109.952
1620001018.4020002,8591106.048
1620001033.4020002,8610648.064
1620001048.4020002,8628965.376
1620001063.4020002,8648253.44
1620001078.4020002,8667488.256
1620001093.4020002,8686403.584
1620001108.4020002,8694300.672
1620001123.4020002,8675778.56
1620001138.4020002,8660393.984
1620001153.4020002,8664440.832
1620001168.4020002,8667947.008
1620001183.4020002,8671821.824
1620001198.4020002,8676818.944
1620001213.4020002,8680325.12
1620001228.4020002,8683503.616
1620001243.4020002,8687652.864
1620001258.4020002,8680894.464
1620001273.4020002,8664657.92
1620001288.4020002,8650383.36
1620001303.4020002,8653328.384
1620001318.4020002,8657920.0
1620001333.4020002,8663015.424
1620001348.4020002,8667123.712
1620001363.4020002,8673198.08
1620001378.4020002,8676401.152
1620001393.4020002,8669450.24
1620001408.4020002,8659369.984
1620001423.4020002,8643997.696
1620001438.4020002,8655343.616
1620001453.4020002,8679018.496
1620001468.4020002,8683462.656
1620001483.4020002,8686469.12
1620001498.4020002,8689487.872
1620001513.4020002,8694767.616
1620001528.4020002,8697958.4
1620001543.4020002,8690077.696
1620001558.4020002,8672186.368
1620001573.4020002,8657682.432
1620001588.4020002,8661667.84
1620001603.4020002,8664813.568
1620001618.4020002,8669827.072
1620001633.4020002,8672985.088
1620001648.4020002,8676417.536
1620001663.4020002,8681414.656
1620001678.4020002,8676978.688
1620001693.4020002,8660115.456
1620001708.4020002,8644558.848
1620001723.4020002,8646062.08
1620001738.4020002,8649895.936
1620001753.4020002,8653074.432
1620001768.4020002,8655970.304
1620001783.4020002,8659251.2
1620001798.4020002,8676290.56
1620001813.4020002,8696115.2
1620001828.4020002,8701513.728
1620001843.4020002,8699355.136
1620001858.4020002,8700821.504
1620001873.4020002,8700821.504
1620001888.4020002,8700825.6
1620001903.4020002,8700829.696
1620001918.4020002,8700833.792
1620001933.4020002,8700870.656
1620001948.4020002,8700882.944
1620001963.4020002,8701247.488
1620001978.4020002,8701616.128
1620001993.4020002,8701988.864
1620002008.4020002,8702005.248
1620002023.4020002,8702025.728
1620002038.4020002,8702054.4
1620002053.4020002,8702087.168
1620002068.4020002,8701804.544
1620002083.4020002,8701259.776
1620002098.4020002,8701292.544
1620002113.4020002,8700555.264
1620002128.4020002,8700784.64
1620002143.4020002,8704032.768
1620002158.4020002,8704036.864
1620002173.4020002,8704106.496
1620002188.4020002,8704520.192
1620002203.4020002,8704876.544
1620002218.4020002,8704913.408
1620002233.4020002,8704950.272
1620002248.4020002,8702894.08
1620002263.4020002,8701104.128
1620002278.4020002,8703512.576
1620002293.4020002,8703516.672
1620002308.4020002,8703516.672
1620002323.4020002,8703520.768
1620002338.4020002,8703524.864
1620002353.4020002,8704266.24
1620002368.4020002,8704655.36
1620002383.4020002,8705028.096
1620002398.4020002,8705400.832
1620002413.4020002,8705781.76
1620002428.4020002,8705810.432
1620002443.4020002,8705843.2
1620002458.4020002,8705589.248
1620002473.4020002,8705306.624
1620002488.4020002,8705036.288
1620002503.4020002,8703524.864
1620002518.4020002,8704770.048
1620002533.4020002,8707137.536
1620002548.4020002,8707141.632
1620002563.4020002,8707244.032
1620002578.4020002,8707301.376
1620002593.4020002,8707313.664
1620002608.4020002,8707379.2
1620002623.4020002,8707416.064
