epoch,value
1620000958.4020002,20869435.392
1620000973.4020002,20869402.624
1620000988.4020002,20869398.528
1620001003.4020002,18852335.616
1620001018.4020002,18842120.192
1620001033.4020002,18866356.224
1620001048.4020002,18956427.264
1620001063.4020002,18600427.52
1620001078.4020002,18100269.056
1620001093.4020002,18176724.992
1620001108.4020002,18492628.992
1620001123.4020002,20735102.976
1620001138.4020002,20750839.808
1620001153.4020002,18756939.776
1620001168.4020002,18750693.376
1620001183.4020002,18915483.648
1620001198.4020002,18573914.112
1620001213.4020002,18240819.2
1620001228.4020002,18093596.672
1620001243.4020002,18241708.032
1620001258.4020002,20223709.184
1620001273.4020002,20742025.216
1620001288.4020002,20307943.424
1620001303.4020002,18309582.848
1620001318.4020002,18289827.84
1620001333.4020002,18350436.352
1620001348.4020002,18442551.296
1620001363.4020002,18434154.496
1620001378.4020002,18433982.464
1620001393.4020002,18493661.184
1620001408.4020002,20753936.384
1620001423.4020002,20769964.032
1620001438.4020002,18768596.992
1620001453.4020002,18737627.136
1620001468.4020002,18566414.336
1620001483.4020002,18238873.6
1620001498.4020002,18227445.76
1620001513.4020002,18031247.36
1620001528.4020002,18231414.784
1620001543.4020002,19941765.12
1620001558.4020002,20731076.608
1620001573.4020002,20746334.208
1620001588.4020002,18759557.12
1620001603.4020002,18745188.352
1620001618.4020002,18838474.752
1620001633.4020002,19077787.648
1620001648.4020002,19073200.128
1620001663.4020002,19080650.752
1620001678.4020002,19092746.24
1620001693.4020002,20746612.736
1620001708.4020002,20762132.48
1620001723.4020002,18793492.48
1620001738.4020002,18776719.36
1620001753.4020002,18923823.104
1620001768.4020002,18752839.68
1620001783.4020002,18434846.72
1620001798.4020002,18067595.264
1620001813.4020002,18197835.776
1620001828.4020002,19266818.048
1620001843.4020002,20698710.016
1620001858.4020002,20243922.944
1620001873.4020002,20243427.328
1620001888.4020002,20242616.32
1620001903.4020002,20242862.08
1620001918.4020002,20242882.56
1620001933.4020002,20242259.968
1620001948.4020002,20241924.096
1620001963.4020002,19910004.736
1620001978.4020002,19561451.52
1620001993.4020002,19186348.032
1620002008.4020002,19231334.4
1620002023.4020002,19231961.088
1620002038.4020002,19240341.504
1620002053.4020002,19296047.104
1620002068.4020002,19569758.208
1620002083.4020002,20227235.84
1620002098.4020002,20226777.088
1620002113.4020002,20703297.536
1620002128.4020002,20703989.76
1620002143.4020002,18719371.264
1620002158.4020002,18713726.976
1620002173.4020002,18866327.552
1620002188.4020002,18531381.248
1620002203.4020002,18200338.432
1620002218.4020002,18110144.512
1620002233.4020002,18205245.44
1620002248.4020002,20524630.016
1620002263.4020002,20693680.128
1620002278.4020002,20232409.088
1620002293.4020002,20231385.088
1620002308.4020002,20230987.776
1620002323.4020002,20230787.072
1620002338.4020002,20230643.712
1620002353.4020002,19722276.864
1620002368.4020002,19386404.864
1620002383.4020002,19015421.952
1620002398.4020002,18737147.904
1620002413.4020002,18402762.752
1620002428.4020002,18402455.552
1620002443.4020002,18409832.448
1620002458.4020002,18734698.496
1620002473.4020002,19069063.168
1620002488.4020002,19390332.928
1620002503.4020002,20694753.28
1620002518.4020002,20486533.12
1620002533.4020002,18264059.904
1620002548.4020002,18261200.896
1620002563.4020002,18061516.8
1620002578.4020002,18249089.024
1620002593.4020002,18252726.272
1620002608.4020002,18265055.232
1620002623.4020002,18279702.528
