epoch,value
1620000958.4020002,1076387.84
1620000973.4020002,1076387.84
1620000988.4020002,1075892.224
1620001003.4020002,3069698.048
1620001018.4020002,3058081.792
1620001033.4020002,3014094.848
1620001048.4020002,2906038.272
1620001063.4020002,3241582.592
1620001078.4020002,3719999.488
1620001093.4020002,3623489.536
1620001108.4020002,3302535.168
1620001123.4020002,1088339.968
1620001138.4020002,1088000.0
1620001153.4020002,3068923.904
1620001168.4020002,3072622.592
1620001183.4020002,2904481.792
1620001198.4020002,3238490.112
1620001213.4020002,3567099.904
1620001228.4020002,3710423.04
1620001243.4020002,3558916.096
1620001258.4020002,1591586.816
1620001273.4020002,1092456.448
1620001288.4020002,1540820.992
1620001303.4020002,3525304.32
1620001318.4020002,3541020.672
1620001333.4020002,3474214.912
1620001348.4020002,3379073.024
1620001363.4020002,3380084.736
1620001378.4020002,3378589.696
1620001393.4020002,3327303.68
1620001408.4020002,1085313.024
1620001423.4020002,1084780.544
1620001438.4020002,3068129.28
1620001453.4020002,3073626.112
1620001468.4020002,3238592.512
1620001483.4020002,3560595.456
1620001498.4020002,3568103.424
1620001513.4020002,3760033.792
1620001528.4020002,3557183.488
1620001543.4020002,1863094.272
1620001558.4020002,1095581.696
1620001573.4020002,1094840.32
1620001588.4020002,3068268.544
1620001603.4020002,3079704.576
1620001618.4020002,2982584.32
1620001633.4020002,2740486.144
1620001648.4020002,2741432.32
1620001663.4020002,2729213.952
1620001678.4020002,2722631.68
1620001693.4020002,1092567.04
1620001708.4020002,1092661.248
1620001723.4020002,3050831.872
1620001738.4020002,3063926.784
1620001753.4020002,2913615.872
1620001768.4020002,3081744.384
1620001783.4020002,3394822.144
1620001798.4020002,3742601.216
1620001813.4020002,3591757.824
1620001828.4020002,2525102.08
1620001843.4020002,1101148.16
1620001858.4020002,1554939.904
1620001873.4020002,1555320.832
1620001888.4020002,1556111.36
1620001903.4020002,1555845.12
1620001918.4020002,1556045.824
1620001933.4020002,1556611.072
1620001948.4020002,1556885.504
1620001963.4020002,1887309.824
1620001978.4020002,2233212.928
1620001993.4020002,2606493.696
1620002008.4020002,2561794.048
1620002023.4020002,2561667.072
1620002038.4020002,2552188.928
1620002053.4020002,2497220.608
1620002068.4020002,2223144.96
1620002083.4020002,1569624.064
1620002098.4020002,1570078.72
1620002113.4020002,1095364.608
1620002128.4020002,1094455.296
1620002143.4020002,3065425.92
1620002158.4020002,3070156.8
1620002173.4020002,2918707.2
1620002188.4020002,3252211.712
1620002203.4020002,3579731.968
1620002218.4020002,3672002.56
1620002233.4020002,3575533.568
1620002248.4020002,1268625.408
1620002263.4020002,1102557.184
1620002278.4020002,1562177.536
1620002293.4020002,1563189.248
1620002308.4020002,1563602.944
1620002323.4020002,1563758.592
1620002338.4020002,1563881.472
1620002353.4020002,2070224.896
1620002368.4020002,2403733.504
1620002383.4020002,2773471.232
1620002398.4020002,3049357.312
1620002413.4020002,3381940.224
1620002428.4020002,3380789.248
1620002443.4020002,3372109.824
1620002458.4020002,3049078.784
1620002473.4020002,2716790.784
1620002488.4020002,2398318.592
1620002503.4020002,1100570.624
1620002518.4020002,1307930.624
1620002533.4020002,3516092.416
1620002548.4020002,3519848.448
1620002563.4020002,3718344.704
1620002578.4020002,3529752.576
1620002593.4020002,3525976.064
1620002608.4020002,3514421.248
1620002623.4020002,3501453.312
