epoch,value
T0,3213.6053333333334
T1,20125.210000000003
T2,20125.21
T3,17844.156666666666
T4,3017.31
T5,3017.31
T6,3017.31
T7,3017.31
T8,3017.31
T9,4359.647333333333
T10,13084.84
T11,13046.969333333334
T12,12516.78
T13,12516.78
T14,11288.865333333333
T15,3307.42
T16,3307.42
T17,3307.42
T18,3307.4200000000005
T19,9315.869999999999
T20,33349.67
T21,33349.67
T22,29040.929999999997
T23,1034.12
T24,1034.12
T25,1086.2466666666664
T26,1425.07
T27,1578.0913333333333
T28,2572.73
T29,2572.73
T30,4530.304
T31,12360.6
T32,12360.6
T33,10529.060000000001
T34,3202.9
T35,3202.9
T36,3202.9
T37,3202.9000000000005
T38,5194.29
T39,13159.85
T40,13159.85
T41,14273.954
T42,17337.74
T43,13576.742666666667
T44,3234.0
T45,3234.0
T46,3234.0
T47,3234.0
T48,3234.0
T49,6921.2480000000005
T50,21670.239999999998
T51,19183.755999999998
T52,3021.61
T53,3021.61
T54,3021.61
T55,3021.61
T56,3021.61
T57,5007.296
T58,12950.04
T59,15691.925333333334
T60,23232.11
T61,23232.11
T62,16238.296666666667
T63,2250.67
T64,2250.67
T65,2250.67
T66,2250.67
T67,2250.67
T68,2250.67
T69,2250.67
T70,2250.67
T71,2250.67
T72,2250.67
T73,2250.67
T74,2250.67
T75,2343.842
T76,2716.53
T77,2716.53
T78,5675.463333333334
T79,13812.53
T80,13812.53
T81,9691.278
T82,3509.4
T83,3509.4
T84,3509.4
T85,3509.4
T86,12251.66
T87,29736.179999999997
T88,29736.179999999997
T89,20616.159999999996
T90,2376.1200000000003
T91,2376.1200000000003
T92,2376.1200000000003
T93,2376.1200000000003
T94,2376.12
T95,2376.1200000000003
T96,2376.1200000000003
T97,2376.1200000000003
T98,2376.12
T99,2376.1200000000003
T100,2376.1200000000003
T101,2376.1200000000003
T102,3270.6079999999997
T103,5730.45
T104,5730.45
T105,4155.2266666666665
T106,1004.78
T107,1004.78
T108,1004.7800000000001
T109,1004.78
T110,0.0
T111,0.0
