epoch,value
T0,99.70000000000002
T1,99.52666666666666
T2,97.42
T3,99.5
T4,99.12666666666668
T5,96.70000000000002
T6,96.44666666666667
T7,94.79999999999998
T8,93.94
T9,91.48666666666666
T10,97.90000000000002
T11,97.90000000000002
T12,98.12666666666668
T13,99.33333333333333
T14,97.6
T15,97.6
T16,97.33333333333333
T17,95.13333333333334
T18,92.59999999999998
T19,94.59999999999998
T20,95.61999999999998
T21,99.7
T22,99.46000000000001
T23,97.9
T24,97.46000000000001
T25,94.08
T26,90.08666666666667
T27,86.1
T28,87.15333333333334
T29,94.44
T30,97.72
T31,99.40000000000002
T32,99.40000000000002
T33,99.40000000000002
T34,98.86
T35,96.7
T36,95.66000000000001
T37,91.9
T38,95.4
T39,99.0
T40,98.62666666666668
T41,98.07999999999998
T42,97.82666666666667
T43,93.5
T44,92.99333333333334
T45,90.64
T46,88.0
T47,88.0
T48,90.3
T49,99.03999999999999
T50,97.66000000000001
T51,99.5
T52,98.88000000000001
T53,96.40000000000002
T54,95.96000000000001
T55,94.2
T56,93.38000000000001
T57,91.99999999999999
T58,95.86666666666666
T59,85.6
T60,84.77333333333333
T61,82.5
T62,81.96666666666667
T63,80.9
T64,79.11333333333333
T65,75.45333333333335
T66,79.26666666666667
T67,80.0
T68,80.0
T69,77.43333333333334
T70,74.1
T71,77.7
T72,79.00666666666666
T73,83.83333333333333
T74,88.32666666666667
T75,93.90000000000002
T76,95.26
T77,98.65333333333334
T78,98.07333333333332
T79,99.1
T80,98.1
T81,96.1
T82,96.1
T83,95.16666666666667
T84,92.9
T85,94.53999999999999
T86,94.83333333333333
T87,85.1
T88,84.3
T89,82.7
T90,82.7
T91,82.7
T92,81.52666666666667
T93,80.14
T94,85.2
T95,85.2
T96,85.2
T97,83.65333333333335
T98,81.12000000000002
T99,88.0
T100,89.14666666666668
T101,94.06
T102,98.9
T103,98.9
T104,98.9
T105,98.76666666666667
T106,97.36666666666666
T107,95.1
T108,93.9
T109,91.16666666666667
T110,0.0
T111,0.0
