epoch,value
T0,0.1
T1,0.11333333333333334
T2,0.2866666666666667
T3,0.2
T4,0.24000000000000002
T5,0.5
T6,0.5399999999999999
T7,0.8
T8,0.9600000000000002
T9,1.4266666666666667
T10,0.3
T11,0.3
T12,0.2733333333333333
T13,0.12666666666666665
T14,0.3
T15,0.3
T16,0.35333333333333333
T17,0.7933333333333332
T18,1.2999999999999998
T19,0.9
T20,0.7400000000000001
T21,0.10000000000000002
T22,0.12666666666666665
T23,0.3
T24,0.38
T25,1.02
T26,1.9333333333333333
T27,2.8
T28,2.6
T29,1.166666666666667
T30,0.27999999999999997
T31,0.20000000000000004
T32,0.20000000000000004
T33,0.20000000000000004
T34,0.26
T35,0.5
T36,0.6799999999999999
T37,1.3599999999999999
T38,0.92
T39,0.20000000000000004
T40,0.2
T41,0.2
T42,0.36000000000000004
T43,0.8
T44,1.0133333333333334
T45,1.7866666666666666
T46,2.3
T47,2.3
T48,1.88
T49,0.22000000000000003
T50,0.27999999999999997
T51,0.2
T52,0.28
T53,0.6
T54,0.6799999999999999
T55,1.0
T56,1.12
T57,1.3000000000000003
T58,0.66
T59,2.2
T60,2.6533333333333338
T61,3.9
T62,3.8
T63,3.6
T64,3.68
T65,4.006666666666666
T66,4.266666666666667
T67,4.2
T68,4.2
T69,4.233333333333333
T70,4.3
T71,4.3
T72,4.14
T73,3.2
T74,1.8266666666666669
T75,0.8000000000000002
T76,0.6400000000000001
T77,0.2
T78,0.28
T79,0.5
T80,0.5333333333333333
T81,0.6
T82,0.6
T83,0.7866666666666667
T84,1.12
T85,0.8200000000000001
T86,0.8333333333333334
T87,2.3
T88,2.7666666666666666
T89,3.7
T90,3.7
T91,3.7
T92,3.566666666666667
T93,3.1733333333333333
T94,3.1
T95,3.1
T96,3.1
T97,3.1533333333333333
T98,3.1399999999999997
T99,2.5
T100,2.1533333333333333
T101,0.9333333333333333
T102,0.2
T103,0.2
T104,0.2
T105,0.2
T106,0.36666666666666664
T107,0.7
T108,0.98
T109,1.6333333333333333
T110,0.0
T111,0.0
