epoch,value
T0,1285.572
T1,1285.572
T2,1285.572
T3,1285.572
T4,1285.572
T5,1285.572
T6,1285.5710666666666
T7,1285.565
T8,1285.565
T9,1285.565
T10,1285.5649999999998
T11,1285.5649999999998
T12,1285.565
T13,1285.565
T14,1285.565
T15,1285.565
T16,1285.565
T17,1285.565
T18,1285.5638000000001
T19,1285.559
T20,1285.559
T21,1285.559
T22,1285.559
T23,1285.559
T24,1285.559
T25,1285.559
T26,1285.559
T27,1285.559
T28,1285.559
T29,1285.559
T30,1285.5584000000001
T31,1285.556
T32,1285.556
T33,1285.556
T34,1285.556
T35,1285.556
T36,1285.556
T37,1285.556
T38,1285.556
T39,1285.556
T40,1285.556
T41,1285.556
T42,1285.5544
T43,1285.55
T44,1285.55
T45,1285.55
T46,1285.55
T47,1285.55
T48,1285.55
T49,1285.55
T50,1285.55
T51,1285.5499999999997
T52,1285.55
T53,1285.55
T54,1285.549
T55,1285.5450000000005
T56,1285.5450000000005
T57,1285.5450000000003
T58,1285.5450000000003
T59,1285.5450000000003
T60,1285.5450000000003
T61,1285.5450000000003
T62,1285.5450000000003
T63,1285.5450000000003
T64,1285.5450000000003
T65,1285.5450000000003
T66,1285.5423333333335
T67,1285.537
T68,1285.537
T69,1285.537
T70,1285.537
T71,1285.537
T72,1285.537
T73,1285.537
T74,1285.537
T75,1285.537
T76,1285.537
T77,1285.537
T78,1285.5372666666667
T79,1285.538
T80,1285.538
T81,1285.538
T82,1285.538
T83,1285.538
T84,1285.538
T85,1285.538
T86,1285.538
T87,1285.538
T88,1285.538
T89,1285.538
T90,1285.5353333333333
T91,1285.528
T92,1285.528
T93,1285.528
T94,1285.5279999999998
T95,1285.528
T96,1285.528
T97,1285.528
T98,1285.5279999999998
T99,1285.528
T100,1285.528
T101,1285.528
T102,1285.5274666666667
T103,1285.526
T104,1285.526
T105,1285.526
T106,1285.526
T107,1285.526
T108,1285.526
T109,1285.526
T110,0.0
T111,0.0
