epoch,value
T0,0.25
T1,0.25266666666666665
T2,0.29
T3,0.29
T4,0.29
T5,0.29
T6,0.29
T7,0.2993333333333333
T8,0.36000000000000004
T9,0.36
T10,0.36000000000000004
T11,0.36000000000000004
T12,0.36
T13,0.36933333333333335
T14,0.43
T15,0.43
T16,0.43
T17,0.43
T18,0.43
T19,0.458
T20,0.5700000000000001
T21,0.5700000000000001
T22,0.57
T23,0.57
T24,0.57
T25,0.5966666666666666
T26,0.77
T27,0.77
T28,0.77
T29,0.77
T30,0.7700000000000001
T31,0.794
T32,0.89
T33,0.89
T34,0.89
T35,0.89
T36,0.89
T37,0.894
T38,0.92
T39,0.92
T40,0.92
T41,0.92
T42,0.92
T43,0.9146666666666667
T44,0.9
T45,0.9
T46,0.9
T47,0.9
T48,0.9
T49,0.9380000000000001
T50,1.09
T51,1.09
T52,1.09
T53,1.09
T54,1.09
T55,1.102
T56,1.15
T57,1.15
T58,1.15
T59,1.15
T60,1.2139999999999997
T61,1.39
T62,1.39
T63,1.39
T64,1.502
T65,1.8099999999999998
T66,1.81
T67,1.81
T68,1.8099999999999998
T69,1.81
T70,2.0033333333333334
T71,2.39
T72,2.39
T73,2.39
T74,2.4646666666666666
T75,2.67
T76,2.6539999999999995
T77,2.61
T78,2.61
T79,2.61
T80,2.61
T81,2.61
T82,2.574
T83,2.52
T84,2.52
T85,2.52
T86,2.52
T87,2.52
T88,2.56
T89,2.64
T90,2.64
T91,2.64
T92,2.64
T93,2.64
T94,2.712
T95,3.0
T96,3.0
T97,3.0
T98,3.0
T99,3.0
T100,3.0693333333333332
T101,3.2439999999999998
T102,3.1813333333333333
T103,3.13
T104,3.1300000000000003
T105,3.13
T106,3.13
T107,3.13
T108,3.11
T109,3.08
T110,0.0
T111,0.0
