epoch,value
T0,0.24000000000000002
T1,0.24733333333333332
T2,0.35
T3,0.35
T4,0.35
T5,0.35
T6,0.35
T7,0.37533333333333335
T8,0.5400000000000001
T9,0.5400000000000001
T10,0.5400000000000001
T11,0.5400000000000001
T12,0.5400000000000001
T13,0.5560000000000002
T14,0.66
T15,0.66
T16,0.66
T17,0.66
T18,0.66
T19,0.73
T20,1.0100000000000002
T21,1.0100000000000002
T22,1.01
T23,1.01
T24,1.01
T25,1.0726666666666667
T26,1.48
T27,1.48
T28,1.48
T29,1.48
T30,1.4799999999999998
T31,1.512
T32,1.6400000000000001
T33,1.6400000000000001
T34,1.6400000000000001
T35,1.6400000000000001
T36,1.6400000000000001
T37,1.6253333333333333
T38,1.53
T39,1.53
T40,1.5300000000000002
T41,1.5300000000000002
T42,1.5300000000000002
T43,1.4713333333333334
T44,1.3099999999999998
T45,1.3099999999999998
T46,1.3099999999999998
T47,1.31
T48,1.31
T49,1.4
T50,1.7600000000000002
T51,1.76
T52,1.7600000000000002
T53,1.7600000000000002
T54,1.7600000000000002
T55,1.7540000000000002
T56,1.7299999999999998
T57,1.7299999999999998
T58,1.7300000000000002
T59,1.7300000000000002
T60,1.8820000000000001
T61,2.3
T62,2.3
T63,2.3
T64,2.5853333333333333
T65,3.3699999999999997
T66,3.37
T67,3.37
T68,3.3699999999999997
T69,3.37
T70,3.793333333333334
T71,4.64
T72,4.64
T73,4.64
T74,4.704
T75,4.88
T76,4.794666666666667
T77,4.56
T78,4.56
T79,4.56
T80,4.56
T81,4.5600000000000005
T82,4.272
T83,3.8399999999999994
T84,3.8399999999999994
T85,3.8399999999999994
T86,3.8399999999999994
T87,3.839999999999999
T88,3.843333333333333
T89,3.85
T90,3.85
T91,3.85
T92,3.85
T93,3.85
T94,3.9979999999999998
T95,4.59
T96,4.59
T97,4.59
T98,4.59
T99,4.59
T100,4.680666666666666
T101,4.823333333333333
T102,4.45
T103,4.23
T104,4.23
T105,4.23
T106,4.23
T107,4.23
T108,4.078
T109,3.85
T110,0.0
T111,0.0
