epoch,value
T0,0.36
T1,0.37466666666666665
T2,0.58
T3,0.58
T4,0.58
T5,0.58
T6,0.58
T7,0.6493333333333332
T8,1.1
T9,1.1
T10,1.1000000000000003
T11,1.1000000000000003
T12,1.1
T13,1.064
T14,0.83
T15,0.83
T16,0.83
T17,0.83
T18,0.83
T19,1.02
T20,1.78
T21,1.78
T22,1.78
T23,1.78
T24,1.78
T25,1.96
T26,3.13
T27,3.13
T28,3.13
T29,3.13
T30,3.1300000000000003
T31,2.94
T32,2.18
T33,2.18
T34,2.18
T35,2.18
T36,2.18
T37,2.0973333333333337
T38,1.5599999999999998
T39,1.5599999999999998
T40,1.5599999999999998
T41,1.5599999999999998
T42,1.5599999999999998
T43,1.3679999999999999
T44,0.84
T45,0.84
T46,0.84
T47,0.84
T48,0.84
T49,1.15
T50,2.39
T51,2.39
T52,2.39
T53,2.39
T54,2.39
T55,2.322
T56,2.05
T57,2.05
T58,2.05
T59,2.05
T60,2.556666666666666
T61,3.95
T62,3.95
T63,3.95
T64,4.747333333333334
T65,6.94
T66,6.94
T67,6.94
T68,6.94
T69,6.94
T70,7.433333333333334
T71,8.42
T72,8.42
T73,8.42
T74,7.74
T75,5.87
T76,5.424666666666667
T77,4.2
T78,4.2
T79,4.2
T80,4.2
T81,4.2
T82,3.4120000000000004
T83,2.23
T84,2.23
T85,2.23
T86,2.23
T87,2.23
T88,2.8699999999999997
T89,4.15
T90,4.15
T91,4.15
T92,4.15
T93,4.15
T94,4.55
T95,6.15
T96,6.15
T97,6.15
T98,6.150000000000001
T99,6.15
T100,6.115333333333334
T101,5.435999999999999
T102,3.5393333333333334
T103,2.74
T104,2.74
T105,2.74
T106,2.74
T107,2.74
T108,2.8
T109,2.89
T110,0.0
T111,0.0
