epoch,value
T0,2306688.0
T1,2306688.0
T2,2306688.0
T3,2306688.0
T4,2306688.0
T5,2306688.0
T6,2306688.0
T7,2306688.0
T8,2306688.0
T9,2306688.0
T10,2306688.0
T11,2306688.0
T12,2306688.0
T13,2306688.0
T14,2306688.0
T15,2306688.0
T16,2306688.0
T17,2306688.0
T18,2306688.0
T19,2306688.0
T20,2306688.0
T21,2306688.0
T22,2306688.0
T23,2306688.0
T24,2306688.0
T25,2306688.0
T26,2306688.0
T27,2306688.0
T28,2306688.0
T29,2306688.0
T30,2306688.0
T31,2306688.0
T32,2306688.0
T33,2306688.0
T34,2306688.0
T35,2306688.0
T36,2306688.0
T37,2306688.0
T38,2306688.8
T39,2306692.0
T40,2306692.0
T41,2306692.0
T42,2306692.0
T43,2306692.0
T44,2306692.0
T45,2306692.0
T46,2306692.0
T47,2306692.0
T48,2306692.0
T49,2306692.0
T50,2306692.0
T51,2306692.0
T52,2306692.0
T53,2306692.0
T54,2306692.0
T55,2306692.0
T56,2306692.0
T57,2306692.0
T58,2306692.0
T59,2306692.0
T60,2306692.0
T61,2306692.0
T62,2306692.0
T63,2306692.0
T64,2306692.0
T65,2306692.0
T66,2306692.0
T67,2306692.0
T68,2306692.0
T69,2306692.0
T70,2306694.6666666665
T71,2306700.0
T72,2306700.0
T73,2306701.3333333335
T74,2306704.0
T75,2306704.8
T76,2306708.0
T77,2306708.0
T78,2306708.0
T79,2306708.0
T80,2306708.0
T81,2306708.0
T82,2306708.0
T83,2306708.0
T84,2306708.0
T85,2306708.0
T86,2306708.0
T87,2306708.0
T88,2306708.0
T89,2306708.0
T90,2306708.0
T91,2306708.0
T92,2306708.0
T93,2306708.0
T94,2306708.0
T95,2306708.0
T96,2306708.0
T97,2306709.066666667
T98,2306712.0
T99,2306712.0
T100,2306712.0
T101,2306712.0
T102,2306712.0
T103,2306712.0
T104,2306712.0
T105,2306712.0
T106,2306712.0
T107,2306712.0
T108,2306712.0
T109,2306712.0
T110,0.0
T111,0.0
