epoch,value
T0,69168514.66666667
T1,69171392.0
T2,69171392.0
T3,69171660.8
T4,69173408.0
T5,69173408.0
T6,69173527.46666667
T7,69174304.0
T8,69174304.0
T9,69174245.33333333
T10,69173864.0
T11,69174018.13333334
T12,69176176.0
T13,69176176.0
T14,69176353.06666666
T15,69177504.0
T16,69177504.0
T17,69177672.53333333
T18,69178768.0
T19,69178742.4
T20,69178640.0
T21,69178640.0
T22,69178774.4
T23,69179648.0
T24,69179648.0
T25,69179976.53333333
T26,69182112.0
T27,69182089.6
T28,69181944.0
T29,69181944.0
T30,69182339.2
T31,69183920.0
T32,69183920.0
T33,69184083.2
T34,69184736.0
T35,69185033.6
T36,69186224.0
T37,69186224.0
T38,69186060.8
T39,69185408.0
T40,69185408.0
T41,69186107.73333333
T42,69188032.0
T43,69188616.53333333
T44,69190224.0
T45,69190224.0
T46,69190339.2
T47,69190656.0
T48,69190656.0
T49,69190824.0
T50,69191496.0
T51,69191646.4
T52,69192624.0
T53,69192624.0
T54,69192851.2
T55,69193760.0
T56,69193760.0
T57,69193638.4
T58,69193152.0
T59,69194402.13333334
T60,69197840.0
T61,69197840.0
T62,69198093.33333333
T63,69198600.0
T64,69198600.0
T65,69199022.4
T66,69200184.0
T67,69200432.0
T68,69200928.0
T69,69200928.0
T70,69201216.0
T71,69201792.0
T72,69201792.0
T73,69201773.33333333
T74,69201736.0
T75,69201379.2
T76,69199952.0
T77,69199952.0
T78,69200643.2
T79,69202544.0
T80,69202544.0
T81,69202992.0
T82,69203664.0
T83,69204246.4
T84,69204912.0
T85,69204912.0
T86,69205898.66666667
T87,69207872.0
T88,69207872.0
T89,69207872.0
T90,69207872.0
T91,69208224.0
T92,69209192.0
T93,69209192.0
T94,69209347.2
T95,69209968.0
T96,69209968.0
T97,69210177.06666666
T98,69210752.0
T99,69210756.26666667
T100,69210768.0
T101,69210768.0
T102,69212961.06666666
T103,69218992.0
T104,69218992.0
T105,69219594.66666667
T106,69220800.0
T107,69221325.33333333
T108,69222376.0
T109,69222376.0
T110,0.0
T111,0.0
