epoch,value
T0,116684596.8
T1,116292600.0
T2,116292600.0
T3,116247833.06666666
T4,115956848.0
T5,115956848.0
T6,115913799.46666667
T7,115633984.0
T8,115633984.0
T9,115780412.8
T10,116732200.0
T11,116701803.2
T12,116276248.0
T13,116276248.0
T14,116232313.06666666
T15,115946736.0
T16,115946736.0
T17,115878905.6
T18,115438008.0
T19,115697980.8
T20,116737872.0
T21,116737872.0
T22,116732154.66666667
T23,116694992.0
T24,116694992.0
T25,116568086.4
T26,115743200.0
T27,115874664.53333333
T28,116729184.0
T29,116729184.0
T30,116640668.8
T31,116286608.0
T32,116286608.0
T33,116287264.0
T34,116289888.0
T35,116156380.8
T36,115622352.0
T37,115622352.0
T38,115846204.8
T39,116741616.0
T40,116741616.0
T41,116621500.8
T42,116291184.0
T43,115973970.13333334
T44,115101632.0
T45,115101632.0
T46,115264375.46666667
T47,115711920.0
T48,115711920.0
T49,115817856.0
T50,116241600.0
T51,116195483.73333333
T52,115895728.0
T53,115895728.0
T54,115827403.2
T55,115554104.0
T56,115554104.0
T57,115775808.0
T58,116662624.0
T59,116142988.8
T60,114713992.0
T61,114713992.0
T62,114709141.33333333
T63,114699440.0
T64,114699440.0
T65,114555213.86666666
T66,114158592.0
T67,114141461.33333333
T68,114107200.0
T69,114107200.0
T70,114117621.33333333
T71,114138464.0
T72,114138464.0
T73,114480104.0
T74,115163384.0
T75,115445148.8
T76,116572208.0
T77,116572208.0
T78,116454960.0
T79,116132528.0
T80,116132528.0
T81,115997788.8
T82,115795680.0
T83,115632077.86666666
T84,115445104.0
T85,115445104.0
T86,115157968.0
T87,114583696.0
T88,114583696.0
T89,114583696.0
T90,114583696.0
T91,114639047.46666667
T92,114791264.0
T93,114791264.0
T94,114823723.2
T95,114953560.0
T96,114953560.0
T97,114951125.86666666
T98,114944432.0
T99,115231920.0
T100,116022512.0
T101,116022512.0
T102,116179299.2
T103,116610464.0
T104,116610464.0
T105,116552018.66666667
T106,116435128.0
T107,116161130.66666667
T108,115613136.0
T109,115613136.0
T110,0.0
T111,0.0
