epoch,value
T0,6.487333333333334
T1,34.03
T2,34.03
T3,31.115333333333332
T4,12.17
T5,12.17
T6,12.17
T7,12.17
T8,12.169999999999998
T9,12.987333333333334
T10,18.3
T11,19.435333333333332
T12,35.33
T13,35.33
T14,32.388666666666666
T15,13.27
T16,13.27
T17,13.27
T18,13.270000000000001
T19,19.038
T20,42.11
T21,42.11
T22,37.522
T23,7.700000000000001
T24,7.700000000000001
T25,7.246666666666667
T26,4.3
T27,5.62
T28,14.2
T29,14.2
T30,18.314
T31,34.769999999999996
T32,34.769999999999996
T33,30.352
T34,12.68
T35,12.68
T36,12.68
T37,12.68
T38,15.103999999999997
T39,24.8
T40,24.8
T41,26.082666666666668
T42,29.61
T43,24.85533333333333
T44,11.78
T45,11.78
T46,11.78
T47,11.78
T48,11.78
T49,17.093999999999998
T50,38.35
T51,34.85
T52,12.1
T53,12.1
T54,12.1
T55,12.1
T56,12.1
T57,13.213999999999999
T58,17.67
T59,23.131333333333334
T60,38.15
T61,38.15
T62,26.65
T63,3.65
T64,3.65
T65,3.65
T66,3.65
T67,3.65
T68,3.65
T69,3.65
T70,3.65
T71,3.65
T72,3.65
T73,3.65
T74,3.65
T75,7.1659999999999995
T76,21.23
T77,21.23
T78,23.328666666666667
T79,29.1
T80,29.1
T81,23.092000000000002
T82,14.08
T83,14.08
T84,14.08
T85,14.08
T86,24.503333333333334
T87,45.35
T88,45.35
T89,31.433333333333334
T90,3.6
T91,3.6
T92,3.6
T93,3.6
T94,3.6
T95,3.6
T96,3.6
T97,3.6
T98,3.6
T99,3.6
T100,3.6
T101,3.6
T102,12.853333333333332
T103,38.3
T104,38.3
T105,27.016666666666666
T106,4.45
T107,4.45
T108,4.45
T109,4.45
T110,0.0
T111,0.0
