epoch,value
T0,6.513999999999999
T1,28.38
T2,28.38
T3,26.218666666666664
T4,12.17
T5,12.17
T6,12.17
T7,12.17
T8,12.169999999999998
T9,13.556666666666668
T10,22.57
T11,22.848666666666666
T12,26.75
T13,26.75
T14,24.93
T15,13.099999999999998
T16,13.099999999999998
T17,13.099999999999998
T18,13.1
T19,18.992
T20,42.56000000000002
T21,42.56000000000001
T22,37.75866666666666
T23,6.549999999999999
T24,6.549999999999999
T25,6.549999999999999
T26,6.549999999999999
T27,7.3806666666666665
T28,12.78
T29,12.78
T30,15.458
T31,26.17
T32,26.17
T33,23.392
T34,12.28
T35,12.28
T36,12.28
T37,12.28
T38,14.77
T39,24.73
T40,24.730000000000004
T41,25.77266666666667
T42,28.64
T43,24.349333333333334
T44,12.55
T45,12.55
T46,12.55
T47,12.550000000000002
T48,12.550000000000002
T49,17.156000000000002
T50,35.58
T51,32.455999999999996
T52,12.15
T53,12.15
T54,12.15
T55,12.15
T56,12.15
T57,14.164
T58,22.219999999999995
T59,25.028
T60,32.75
T61,32.75
T62,23.766666666666666
T63,5.8
T64,5.8
T65,5.8
T66,5.8
T67,5.8
T68,5.8
T69,5.8
T70,5.8
T71,5.8
T72,5.8
T73,5.8
T74,5.8
T75,7.7459999999999996
T76,15.53
T77,15.53
T78,18.322
T79,26.0
T80,26.0
T81,20.992
T82,13.479999999999999
T83,13.479999999999999
T84,13.479999999999999
T85,13.479999999999999
T86,23.203333333333333
T87,42.65
T88,42.65
T89,30.723333333333336
T90,6.870000000000001
T91,6.870000000000001
T92,6.870000000000001
T93,6.870000000000001
T94,6.87
T95,6.870000000000001
T96,6.870000000000001
T97,6.870000000000001
T98,6.87
T99,6.870000000000001
T100,6.870000000000001
T101,6.870000000000001
T102,10.539333333333333
T103,20.63
T104,20.63
T105,15.636666666666665
T106,5.65
T107,5.65
T108,5.65
T109,5.65
T110,0.0
T111,0.0
