epoch,value
T0,2396.6566666666668
T1,2698.3000000000006
T2,2698.3
T3,2915.366666666667
T4,4326.3
T5,4326.3
T6,4326.3
T7,4326.3
T8,4326.3
T9,4326.3
T10,4326.3
T11,4298.378000000001
T12,3907.4700000000003
T13,3923.887333333333
T14,4030.5999999999995
T15,4030.5999999999995
T16,7975.627999999999
T17,33618.31
T18,33618.31
T19,27834.378
T20,4698.65
T21,4668.8099999999995
T22,4549.45
T23,4549.45
T24,4517.019333333333
T25,4306.22
T26,4306.22
T27,4306.22
T28,4306.22
T29,4428.128
T30,5220.53
T31,5220.53
T32,4982.372
T33,4029.74
T34,4029.74
T35,4029.74
T36,4029.74
T37,4029.74
T38,4029.7400000000002
T39,4029.74
T40,4165.990666666667
T41,4540.680000000001
T42,4540.680000000001
T43,4390.8346666666675
T44,3978.76
T45,3978.76
T46,3978.76
T47,3978.76
T48,4157.740000000001
T49,4873.66
T50,4873.66
T51,4815.576
T52,4438.03
T53,4438.03
T54,4438.03
T55,4438.03
T56,10517.124
T57,34833.5
T58,34833.5
T59,26683.516
T60,4271.06
T61,4271.06
T62,4127.1066666666675
T63,3839.2
T64,11496.048
T65,32552.38
T66,32552.379999999997
T67,23192.436666666665
T68,4472.55
T69,4472.55
T70,4472.55
T71,4472.55
T72,12062.526000000002
T73,32934.96
T74,32934.96
T75,27197.332000000002
T76,4246.82
T77,4290.569333333333
T78,4410.88
T79,4410.880000000001
T80,4327.0633333333335
T81,4159.43
T82,4159.43
T83,4159.43
T84,4159.43
T85,4159.43
T86,4568.243333333333
T87,5385.869999999999
T88,14119.983333333334
T89,31588.21
T90,31588.210000000003
T91,24119.834
T92,3581.8
T93,3581.8
T94,3581.8000000000006
T95,3581.8
T96,3581.8
T97,3581.8
T98,3581.8000000000006
T99,3581.8
T100,3581.8
T101,3788.762666666667
T102,4357.91
T103,4357.91
T104,12078.096666666668
T105,33308.61
T106,33308.61
T107,23736.386666666665
T108,4591.9400000000005
T109,4889.493333333333
T110,0.0
T111,0.0
