epoch,value
T0,5778.8533333333335
T1,33705.8
T2,33705.8
T3,29563.270666666667
T4,2636.83
T5,2636.83
T6,2636.83
T7,2636.83
T8,2636.8299999999995
T9,2636.83
T10,2636.83
T11,4793.003333333332
T12,34979.43000000001
T13,30558.123333333337
T14,1819.6300000000003
T15,1819.6300000000003
T16,1894.4060000000002
T17,2380.45
T18,2380.45
T19,2309.776
T20,2027.0799999999995
T21,8642.096
T22,35102.16000000001
T23,35102.16000000001
T24,30714.10133333334
T25,2191.72
T26,2191.72
T27,2191.72
T28,2191.72
T29,6670.065333333333
T30,35779.30999999999
T31,35779.30999999998
T32,28987.095999999987
T33,1818.2400000000002
T34,1818.2400000000002
T35,1818.2400000000002
T36,1818.2400000000002
T37,1818.24
T38,1818.2400000000002
T39,1818.2400000000002
T40,10734.522666666668
T41,35254.3
T42,35254.3
T43,26313.49466666667
T44,1726.2799999999997
T45,1726.2799999999997
T46,1726.2799999999997
T47,1726.28
T48,8314.07
T49,34665.23
T50,34665.23
T51,30450.823333333337
T52,3057.18
T53,3057.18
T54,3057.18
T55,3057.18
T56,3424.1639999999998
T57,4892.1
T58,4892.1
T59,12944.985333333334
T60,35090.420000000006
T61,35090.42
T62,24618.946666666663
T63,3676.0
T64,3304.8986666666665
T65,2284.3700000000003
T66,2284.37
T67,2134.923333333333
T68,1836.0299999999997
T69,1836.0299999999997
T70,1836.0299999999997
T71,1836.0299999999997
T72,1873.8166666666666
T73,1977.7299999999998
T74,1977.7299999999998
T75,1954.8
T76,1863.0799999999997
T77,10765.893333333333
T78,35248.63
T79,35248.63
T80,24147.89
T81,1946.41
T82,1946.41
T83,1946.41
T84,1946.41
T85,1946.41
T86,12861.743333333336
T87,34692.41
T88,24813.583333333336
T89,5055.930000000001
T90,5055.930000000001
T91,4124.060666666667
T92,1561.4200000000003
T93,1561.4200000000003
T94,1561.4200000000003
T95,1561.4200000000003
T96,1561.4200000000003
T97,1561.4200000000003
T98,1561.4200000000003
T99,1561.4200000000003
T100,1561.4200000000003
T101,7990.886666666666
T102,25671.92
T103,25671.92
T104,22847.042666666668
T105,15078.63
T106,15078.63
T107,12737.956666666665
T108,8056.61
T109,6254.956666666666
T110,0.0
T111,0.0
