epoch,value
T0,87.9
T1,88.06
T2,90.48666666666666
T3,91.70000000000002
T4,91.70000000000002
T5,91.70000000000002
T6,91.70000000000002
T7,91.70000000000002
T8,91.56
T9,89.49333333333334
T10,80.28
T11,88.60666666666667
T12,91.5
T13,91.5
T14,91.5
T15,91.5
T16,91.5
T17,91.51333333333334
T18,91.59999999999998
T19,90.71999999999998
T20,87.2
T21,88.06
T22,91.5
T23,91.5
T24,91.5
T25,91.5
T26,91.5
T27,91.28666666666666
T28,89.9
T29,89.56666666666666
T30,88.24000000000001
T31,91.59999999999998
T32,91.59999999999998
T33,91.59999999999998
T34,91.59999999999998
T35,91.59999999999998
T36,91.59999999999998
T37,91.6
T38,90.59999999999998
T39,87.49999999999999
T40,91.1
T41,91.1
T42,91.1
T43,91.1
T44,91.1
T45,91.23333333333333
T46,91.6
T47,90.59999999999998
T48,86.59999999999998
T49,87.44
T50,90.8
T51,90.79999999999998
T52,90.8
T53,90.8
T54,90.8
T55,90.94
T56,91.5
T57,90.82
T58,88.60666666666665
T59,90.42666666666668
T60,91.6
T61,91.6
T62,91.6
T63,91.6
T64,91.6
T65,91.6
T66,91.5
T67,91.3
T68,91.3
T69,91.3
T70,91.3
T71,91.4
T72,91.6
T73,91.6
T74,91.6
T75,90.66
T76,86.9
T77,88.07333333333334
T78,91.3
T79,91.3
T80,91.3
T81,91.3
T82,91.3
T83,91.48666666666666
T84,91.7
T85,90.22000000000001
T86,88.66666666666667
T87,90.0
T88,90.43333333333334
T89,91.3
T90,91.3
T91,91.3
T92,91.3
T93,91.27333333333333
T94,91.2
T95,91.2
T96,91.2
T97,91.2
T98,91.2
T99,91.2
T100,91.33333333333333
T101,91.00666666666666
T102,89.1
T103,89.1
T104,89.68666666666667
T105,91.3
T106,91.3
T107,91.3
T108,91.3
T109,91.3
T110,0.0
T111,0.0
