epoch,value
T0,1.3000000000000003
T1,1.2466666666666666
T2,0.47333333333333333
T3,0.3
T4,0.3
T5,0.3
T6,0.3
T7,0.3
T8,0.32
T9,0.7066666666666668
T10,2.5666666666666673
T11,0.6866666666666666
T12,0.5
T13,0.5
T14,0.5
T15,0.5
T16,0.5
T17,0.48666666666666664
T18,0.4000000000000001
T19,0.52
T20,1.0
T21,0.9
T22,0.5
T23,0.5
T24,0.5
T25,0.5
T26,0.5
T27,0.5266666666666667
T28,0.7
T29,0.7266666666666667
T30,0.8
T31,0.4000000000000001
T32,0.4000000000000001
T33,0.4000000000000001
T34,0.4000000000000001
T35,0.4000000000000001
T36,0.4000000000000001
T37,0.4
T38,0.5400000000000001
T39,1.02
T40,0.7
T41,0.7
T42,0.7
T43,0.7
T44,0.7
T45,0.6466666666666666
T46,0.5
T47,0.62
T48,1.1
T49,0.9800000000000001
T50,0.5
T51,0.5
T52,0.5
T53,0.5
T54,0.5
T55,0.5
T56,0.5
T57,0.5399999999999999
T58,0.6466666666666666
T59,0.44666666666666666
T60,0.3
T61,0.3
T62,0.3
T63,0.3
T64,0.3
T65,0.3
T66,0.43333333333333335
T67,0.7
T68,0.7
T69,0.7
T70,0.7
T71,0.6
T72,0.4
T73,0.4
T74,0.4
T75,0.5000000000000001
T76,0.9
T77,0.7666666666666667
T78,0.4
T79,0.4
T80,0.4
T81,0.4
T82,0.4
T83,0.3533333333333334
T84,0.3
T85,0.4599999999999999
T86,0.6333333333333333
T87,0.5
T88,0.5
T89,0.5
T90,0.5
T91,0.5
T92,0.5
T93,0.58
T94,0.8000000000000002
T95,0.8
T96,0.8
T97,0.8
T98,0.8000000000000002
T99,0.8
T100,0.6933333333333334
T101,0.48000000000000004
T102,0.7
T103,0.7
T104,0.6199999999999999
T105,0.4
T106,0.4
T107,0.4
T108,0.4
T109,0.4
T110,0.0
T111,0.0
