epoch,value
T0,10.8
T1,10.700000000000001
T2,9.113333333333335
T3,7.9
T4,7.9
T5,7.9
T6,7.9
T7,7.9
T8,7.920000000000001
T9,9.266666666666667
T10,17.053333333333335
T11,10.606666666666667
T12,7.9
T13,7.9
T14,7.9
T15,7.9
T16,7.9
T17,7.913333333333333
T18,8.0
T19,8.76
T20,11.800000000000002
T21,11.040000000000001
T22,8.0
T23,8.0
T24,8.0
T25,8.0
T26,8.0
T27,8.133333333333333
T28,9.0
T29,9.360000000000001
T30,10.959999999999999
T31,8.0
T32,8.0
T33,8.0
T34,8.0
T35,8.0
T36,7.98
T37,7.9
T38,8.780000000000001
T39,11.48
T40,8.2
T41,8.2
T42,8.2
T43,8.2
T44,8.2
T45,8.12
T46,7.9
T47,8.7
T48,11.9
T49,11.26
T50,8.7
T51,8.7
T52,8.7
T53,8.7
T54,8.7
T55,8.559999999999999
T56,8.0
T57,8.620000000000001
T58,10.673333333333334
T59,9.1
T60,8.0
T61,8.0
T62,8.0
T63,8.0
T64,8.0
T65,8.0
T66,8.0
T67,8.0
T68,8.0
T69,8.0
T70,8.0
T71,7.966666666666667
T72,7.9
T73,7.9
T74,7.9
T75,8.76
T76,12.2
T77,11.159999999999998
T78,8.3
T79,8.3
T80,8.3
T81,8.3
T82,8.3
T83,8.16
T84,8.0
T85,9.28
T86,10.6
T87,9.4
T88,8.9
T89,7.9
T90,7.9
T91,7.9
T92,7.9
T93,7.9
T94,7.900000000000001
T95,7.9
T96,7.9
T97,7.9
T98,7.900000000000001
T99,7.9
T100,7.9
T101,8.513333333333334
T102,10.2
T103,10.2
T104,9.666666666666666
T105,8.2
T106,8.2
T107,8.2
T108,8.2
T109,8.2
T110,0.0
T111,0.0
