epoch,value
T0,6001.994000000001
T1,6001.9940000000015
T2,6001.995333333334
T3,6002.004
T4,6002.004
T5,6002.004
T6,6002.004
T7,6002.004
T8,6002.004
T9,6002.004
T10,6002.004
T11,6002.004
T12,6002.004
T13,6002.004
T14,6002.004933333333
T15,6002.0109999999995
T16,6002.0109999999995
T17,6002.0109999999995
T18,6002.0109999999995
T19,6002.0109999999995
T20,6002.0109999999995
T21,6002.0109999999995
T22,6002.0109999999995
T23,6002.0109999999995
T24,6002.0109999999995
T25,6002.0109999999995
T26,6002.008733333333
T27,6001.994000000001
T28,6001.994000000001
T29,6001.994000000001
T30,6001.9940000000015
T31,6001.9940000000015
T32,6001.9940000000015
T33,6001.9940000000015
T34,6001.9940000000015
T35,6001.9940000000015
T36,6001.9940000000015
T37,6001.994000000001
T38,6001.9956
T39,6002.001999999999
T40,6002.0019999999995
T41,6002.0019999999995
T42,6002.0019999999995
T43,6002.0019999999995
T44,6002.0019999999995
T45,6002.0019999999995
T46,6002.0019999999995
T47,6002.001999999999
T48,6002.001999999999
T49,6002.001999999999
T50,6001.999999999999
T51,6001.991999999999
T52,6001.991999999999
T53,6001.991999999999
T54,6001.991999999999
T55,6001.991999999999
T56,6001.991999999999
T57,6001.991999999999
T58,6001.991999999999
T59,6001.991999999999
T60,6001.991999999999
T61,6001.991999999999
T62,6001.991999999999
T63,6001.994333333333
T64,6001.999
T65,6001.999
T66,6001.999
T67,6001.999
T68,6001.999
T69,6001.999
T70,6001.999
T71,6001.999
T72,6001.999
T73,6001.999
T74,6001.996866666667
T75,6001.990999999999
T76,6001.990999999999
T77,6001.990999999999
T78,6001.990999999999
T79,6001.991
T80,6001.991
T81,6001.990999999999
T82,6001.990999999999
T83,6001.990999999999
T84,6001.990999999999
T85,6001.990999999999
T86,6001.991
T87,6001.991666666667
T88,6001.993000000001
T89,6001.993000000001
T90,6001.993000000001
T91,6001.993000000001
T92,6001.993000000001
T93,6001.993000000001
T94,6001.9929999999995
T95,6001.993000000001
T96,6001.993000000001
T97,6001.993000000001
T98,6001.992
T99,6001.988
T100,6001.988
T101,6001.988
T102,6001.988
T103,6001.988
T104,6001.988
T105,6001.988
T106,6001.988
T107,6001.988
T108,6001.988
T109,6001.988
T110,0.0
T111,0.0
