epoch,value
T0,3.39
T1,3.39
T2,3.39
T3,3.3939999999999997
T4,3.42
T5,3.42
T6,3.42
T7,3.42
T8,3.4199999999999995
T9,3.472
T10,3.8093333333333335
T11,3.7999999999999994
T12,3.8
T13,3.8
T14,3.8
T15,3.8
T16,3.8
T17,3.7946666666666666
T18,3.7600000000000002
T19,3.76
T20,3.76
T21,3.76
T22,3.7599999999999993
T23,3.7626666666666666
T24,3.7800000000000002
T25,3.7800000000000002
T26,3.7800000000000002
T27,3.7800000000000002
T28,3.7800000000000002
T29,3.7733333333333334
T30,3.7299999999999995
T31,3.7299999999999995
T32,3.7299999999999995
T33,3.7299999999999995
T34,3.7299999999999995
T35,3.722
T36,3.69
T37,3.69
T38,3.69
T39,3.69
T40,3.6899999999999995
T41,3.6846666666666663
T42,3.67
T43,3.67
T44,3.67
T45,3.67
T46,3.67
T47,3.676
T48,3.7000000000000006
T49,3.7000000000000006
T50,3.7000000000000006
T51,3.7
T52,3.7000000000000006
T53,3.6920000000000006
T54,3.660000000000001
T55,3.660000000000001
T56,3.660000000000001
T57,3.6760000000000006
T58,3.74
T59,3.74
T60,3.74
T61,3.74
T62,3.7400000000000007
T63,3.726666666666667
T64,3.7
T65,3.7
T66,3.7
T67,3.7
T68,3.7
T69,3.6966666666666668
T70,3.6899999999999995
T71,3.6899999999999995
T72,3.6899999999999995
T73,3.6899999999999995
T74,3.6899999999999995
T75,3.698
T76,3.73
T77,3.73
T78,3.73
T79,3.7299999999999995
T80,3.7299999999999995
T81,3.738
T82,3.75
T83,3.75
T84,3.75
T85,3.75
T86,3.75
T87,3.746666666666667
T88,3.7400000000000007
T89,3.7400000000000007
T90,3.74
T91,3.74
T92,3.74
T93,3.734666666666667
T94,3.7199999999999998
T95,3.72
T96,3.72
T97,3.72
T98,3.7199999999999998
T99,3.7146666666666666
T100,3.7
T101,3.7
T102,3.7
T103,3.7
T104,3.7
T105,3.703333333333333
T106,3.7100000000000004
T107,3.7100000000000004
T108,3.71
T109,3.7100000000000004
T110,0.0
T111,0.0
