epoch,value
T0,3.27
T1,3.2700000000000005
T2,3.27
T3,3.3113333333333332
T4,3.58
T5,3.58
T6,3.58
T7,3.58
T8,3.5800000000000005
T9,4.281333333333333
T10,8.738
T11,7.2413333333333325
T12,6.28
T13,6.28
T14,6.28
T15,6.28
T16,6.28
T17,5.992
T18,4.12
T19,4.12
T20,4.12
T21,4.12
T22,4.12
T23,4.104
T24,4.0
T25,4.0
T26,4.0
T27,4.0
T28,4.0
T29,3.941333333333333
T30,3.56
T31,3.56
T32,3.56
T33,3.56
T34,3.56
T35,3.5020000000000002
T36,3.2700000000000005
T37,3.27
T38,3.2700000000000005
T39,3.2700000000000005
T40,3.27
T41,3.320666666666667
T42,3.4600000000000004
T43,3.4600000000000004
T44,3.4600000000000004
T45,3.4600000000000004
T46,3.4600000000000004
T47,3.63
T48,4.3100000000000005
T49,4.3100000000000005
T50,4.3100000000000005
T51,4.31
T52,4.3100000000000005
T53,4.176
T54,3.64
T55,3.64
T56,3.64
T57,3.868
T58,4.78
T59,4.78
T60,4.78
T61,4.78
T62,4.78
T63,4.376666666666667
T64,3.57
T65,3.57
T66,3.57
T67,3.57
T68,3.57
T69,3.6266666666666665
T70,3.7400000000000007
T71,3.7400000000000007
T72,3.74
T73,3.74
T74,3.74
T75,3.7860000000000005
T76,3.97
T77,3.97
T78,3.97
T79,3.97
T80,3.97
T81,3.906
T82,3.81
T83,3.8100000000000005
T84,3.81
T85,3.81
T86,3.8100000000000005
T87,3.8
T88,3.78
T89,3.78
T90,3.78
T91,3.78
T92,3.78
T93,3.7319999999999998
T94,3.6
T95,3.6
T96,3.6
T97,3.6
T98,3.6
T99,3.5733333333333333
T100,3.5
T101,3.5
T102,3.5
T103,3.5
T104,3.5
T105,3.5766666666666667
T106,3.7299999999999995
T107,3.7299999999999995
T108,3.73
T109,3.7299999999999995
T110,0.0
T111,0.0
