epoch,value
T0,5321097.066666666
T1,5321104.0
T2,5321104.0
T3,5321105.6
T4,5321116.0
T5,5321116.0
T6,5321116.0
T7,5321116.0
T8,5321116.0
T9,5321116.0
T10,5321116.0
T11,5321117.066666666
T12,5321132.0
T13,5321132.0
T14,5321132.0
T15,5321132.0
T16,5321133.6
T17,5321144.0
T18,5321144.0
T19,5321144.8
T20,5321148.0
T21,5321148.8
T22,5321152.0
T23,5321152.0
T24,5321152.533333333
T25,5321156.0
T26,5321156.0
T27,5321156.533333333
T28,5321160.0
T29,5321162.133333334
T30,5321176.0
T31,5321176.0
T32,5321176.0
T33,5321176.0
T34,5321176.0
T35,5321176.0
T36,5321176.0
T37,5321177.6
T38,5321188.0
T39,5321188.0
T40,5321192.266666667
T41,5321204.0
T42,5321204.0
T43,5321204.0
T44,5321204.0
T45,5321204.0
T46,5321204.0
T47,5321204.0
T48,5321204.0
T49,5321204.0
T50,5321204.0
T51,5321204.0
T52,5321204.0
T53,5321204.0
T54,5321204.0
T55,5321204.0
T56,5321215.2
T57,5321260.0
T58,5321260.0
T59,5321263.2
T60,5321272.0
T61,5321272.0
T62,5321272.0
T63,5321272.0
T64,5321272.0
T65,5321272.0
T66,5321272.0
T67,5321289.333333333
T68,5321324.0
T69,5321324.0
T70,5321325.333333333
T71,5321328.0
T72,5321328.0
T73,5321328.0
T74,5321328.0
T75,5321330.4
T76,5321340.0
T77,5321340.0
T78,5321340.0
T79,5321340.0
T80,5321340.0
T81,5321340.0
T82,5321340.0
T83,5321343.733333333
T84,5321348.0
T85,5321348.0
T86,5321350.666666667
T87,5321356.0
T88,5321362.666666667
T89,5321376.0
T90,5321376.0
T91,5321377.066666666
T92,5321380.0
T93,5321380.0
T94,5321380.0
T95,5321380.0
T96,5321381.066666666
T97,5321384.0
T98,5321384.0
T99,5321384.0
T100,5321384.0
T101,5321384.0
T102,5321384.0
T103,5321384.0
T104,5321392.533333333
T105,5321416.0
T106,5321416.0
T107,5321418.666666667
T108,5321424.0
T109,5321424.0
T110,0.0
T111,0.0
