epoch,value
T0,67581092.26666667
T1,67582056.0
T2,67582056.0
T3,67582061.33333333
T4,67582096.0
T5,67582130.13333334
T6,67582352.0
T7,67582352.0
T8,67582435.2
T9,67582768.0
T10,67582768.0
T11,67582775.46666667
T12,67582880.0
T13,67583022.93333334
T14,67583952.0
T15,67583952.0
T16,67583958.4
T17,67584000.0
T18,67584000.0
T19,67583891.2
T20,67583456.0
T21,67583584.0
T22,67584096.0
T23,67584096.0
T24,67584128.0
T25,67584336.0
T26,67584336.0
T27,67584356.26666667
T28,67584488.0
T29,67584578.66666667
T30,67585168.0
T31,67585168.0
T32,67585171.2
T33,67585184.0
T34,67585184.0
T35,67585340.8
T36,67585968.0
T37,67585895.46666667
T38,67585424.0
T39,67585424.0
T40,67585603.2
T41,67586096.0
T42,67586096.0
T43,67586147.2
T44,67586288.0
T45,67586294.4
T46,67586312.0
T47,67586312.0
T48,67586312.0
T49,67586312.0
T50,67586312.0
T51,67586312.0
T52,67586312.0
T53,67586312.0
T54,67586312.0
T55,67586312.0
T56,67586289.6
T57,67586200.0
T58,67586200.0
T59,67586650.13333334
T60,67587888.0
T61,67587888.0
T62,67587888.0
T63,67587888.0
T64,67587888.0
T65,67587888.0
T66,67587888.0
T67,67588165.33333333
T68,67588720.0
T69,67588720.0
T70,67588792.0
T71,67588936.0
T72,67588936.0
T73,67588936.0
T74,67588936.0
T75,67588892.8
T76,67588720.0
T77,67588899.2
T78,67589392.0
T79,67589392.0
T80,67588458.66666667
T81,67586592.0
T82,67586592.0
T83,67586644.26666667
T84,67586704.0
T85,67586704.0
T86,67586821.33333333
T87,67587056.0
T88,67586053.33333333
T89,67584048.0
T90,67584048.0
T91,67584112.0
T92,67584288.0
T93,67584288.0
T94,67584288.0
T95,67584288.0
T96,67584369.06666666
T97,67584592.0
T98,67584592.0
T99,67584598.4
T100,67584616.0
T101,67585008.53333333
T102,67586088.0
T103,67586088.0
T104,67586149.86666666
T105,67586320.0
T106,67586320.0
T107,67586336.0
T108,67586368.0
T109,67586517.33333333
T110,0.0
T111,0.0
