epoch,value
T0,7387873.6
T1,7008804.0
T2,7008804.0
T3,7001236.0
T4,6952044.0
T5,6944613.066666666
T6,6896312.0
T7,6896312.0
T8,6885209.6
T9,6840800.0
T10,6840800.0
T11,6836991.733333333
T12,6783676.0
T13,6776517.066666666
T14,6729984.0
T15,6729984.0
T16,6722833.066666666
T17,6676352.0
T18,6676352.0
T19,6677504.0
T20,6682112.0
T21,6658536.0
T22,6564232.0
T23,6564232.0
T24,6589684.8
T25,6755128.0
T26,6755128.0
T27,6751047.466666667
T28,6724524.0
T29,6720608.266666667
T30,6695156.0
T31,6695156.0
T32,6689842.4
T33,6668588.0
T34,6668588.0
T35,6662247.2
T36,6636884.0
T37,6641925.6
T38,6674696.0
T39,6674696.0
T40,7088099.733333333
T41,8224960.0
T42,8224960.0
T43,8225456.0
T44,8226820.0
T45,8225734.133333334
T46,8222748.0
T47,8222748.0
T48,8222748.0
T49,8222748.0
T50,8222748.0
T51,8222748.0
T52,8222748.0
T53,8222748.0
T54,8222748.0
T55,8222748.0
T56,8248383.2
T57,8350924.0
T58,8350924.0
T59,8315941.6
T60,8219740.0
T61,8219740.0
T62,8219740.0
T63,8219740.0
T64,8219740.0
T65,8219740.0
T66,8219740.0
T67,8212732.0
T68,8198716.0
T69,8198716.0
T70,8204590.666666667
T71,8216340.0
T72,8216340.0
T73,8216340.0
T74,8216340.0
T75,8236232.0
T76,8315800.0
T77,8286050.666666667
T78,8204240.0
T79,8204240.0
T80,8205837.333333333
T81,8209032.0
T82,8209032.0
T83,8207968.0
T84,8206752.0
T85,8206752.0
T86,8214820.0
T87,8230956.0
T88,8232326.666666667
T89,8235068.0
T90,8235068.0
T91,8233353.866666666
T92,8228640.0
T93,8228640.0
T94,8228640.0
T95,8228640.0
T96,8226315.733333333
T97,8219924.0
T98,8219924.0
T99,8212690.933333334
T100,8192800.0
T101,8196150.4
T102,8205364.0
T103,8205364.0
T104,8181468.533333333
T105,8115756.0
T106,8115756.0
T107,8105341.333333333
T108,8084512.0
T109,8075646.666666667
T110,0.0
T111,0.0
