epoch,value
T0,14.695999999999998
T1,18.05
T2,18.05
T3,18.214000000000002
T4,19.28000000000001
T5,19.28000000000001
T6,19.28000000000001
T7,19.280000000000005
T8,19.280000000000005
T9,19.280000000000005
T10,19.280000000000005
T11,19.476000000000006
T12,22.220000000000002
T13,21.41733333333333
T14,16.2
T15,16.2
T16,18.80666666666667
T17,35.75
T18,35.75
T19,32.36
T20,18.8
T21,19.95
T22,24.550000000000004
T23,24.550000000000004
T24,23.53666666666667
T25,16.95
T26,16.95
T27,16.95
T28,16.95
T29,18.403333333333332
T30,27.850000000000005
T31,27.850000000000005
T32,25.540000000000003
T33,16.3
T34,16.3
T35,16.3
T36,16.3
T37,16.3
T38,16.3
T39,16.3
T40,18.64666666666667
T41,25.1
T42,25.1
T43,22.572000000000003
T44,15.62
T45,15.62
T46,15.62
T47,15.620000000000001
T48,17.485999999999997
T49,24.95
T50,24.95
T51,24.200666666666667
T52,19.330000000000002
T53,19.33
T54,19.33
T55,19.33
T56,23.733999999999998
T57,41.35
T58,41.35
T59,36.843333333333334
T60,24.45
T61,24.45
T62,21.566666666666666
T63,15.8
T64,20.791999999999998
T65,34.52
T66,34.52
T67,28.34
T68,15.979999999999999
T69,15.98
T70,15.98
T71,15.98
T72,20.932000000000002
T73,34.55
T74,34.55
T75,31.269999999999996
T76,18.15
T77,19.723333333333333
T78,24.05
T79,24.05
T80,21.516666666666666
T81,16.45
T82,16.45
T83,16.45
T84,16.45
T85,16.45
T86,19.756666666666668
T87,26.369999999999997
T88,30.313333333333333
T89,38.2
T90,38.2
T91,31.693333333333335
T92,13.8
T93,13.8
T94,13.800000000000002
T95,13.8
T96,13.8
T97,13.8
T98,13.800000000000002
T99,13.8
T100,13.8
T101,15.618666666666668
T102,20.62
T103,20.62
T104,26.25466666666667
T105,41.75
T106,41.75
T107,34.306666666666665
T108,19.419999999999998
T109,19.84
T110,0.0
T111,0.0
