epoch,value
T0,11.098666666666668
T1,30.07
T2,30.07
T3,27.740666666666666
T4,12.599999999999998
T5,12.599999999999998
T6,12.599999999999998
T7,12.599999999999998
T8,12.6
T9,12.599999999999998
T10,12.6
T11,13.991333333333333
T12,33.47
T13,30.438
T14,10.73
T15,10.73
T16,11.319333333333335
T17,15.150000000000002
T18,15.15
T19,14.576
T20,12.28
T21,16.747999999999998
T22,34.62
T23,34.62
T24,31.546666666666663
T25,11.57
T26,11.57
T27,11.57
T28,11.57
T29,14.971333333333332
T30,37.08
T31,37.08
T32,31.838
T33,10.870000000000001
T34,10.870000000000001
T35,10.870000000000001
T36,10.870000000000001
T37,10.870000000000001
T38,10.870000000000001
T39,10.870000000000001
T40,17.344666666666665
T41,35.15
T42,35.15
T43,28.502
T44,10.22
T45,10.22
T46,10.22
T47,10.22
T48,15.186000000000002
T49,35.05
T50,35.05
T51,32.12333333333333
T52,13.1
T53,13.1
T54,13.1
T55,13.1
T56,14.389999999999999
T57,19.55
T58,19.55
T59,23.523333333333333
T60,34.45
T61,34.45
T62,26.793333333333333
T63,11.48
T64,12.437333333333333
T65,15.07
T66,15.07
T67,13.54
T68,10.479999999999999
T69,10.48
T70,10.48
T71,10.48
T72,11.56
T73,14.53
T74,14.53
T75,14.054
T76,12.15
T77,18.243333333333332
T78,35.0
T79,35.0
T80,26.916666666666668
T81,10.75
T82,10.75
T83,10.75
T84,10.75
T85,10.75
T86,19.033333333333335
T87,35.6
T88,29.85
T89,18.35
T90,18.35
T91,16.08866666666667
T92,9.87
T93,9.87
T94,9.870000000000001
T95,9.87
T96,9.87
T97,9.87
T98,9.870000000000001
T99,9.87
T100,9.87
T101,14.55
T102,27.42
T103,27.42
T104,26.89466666666667
T105,25.45
T106,25.45
T107,22.083333333333332
T108,15.35
T109,14.993333333333332
T110,0.0
T111,0.0
