epoch,value
T0,652.12
T1,3289.2833333333333
T2,40209.56999999999
T3,40209.56999999999
T4,35009.272666666664
T5,1207.34
T6,1207.34
T7,1207.34
T8,1207.34
T9,4085.9093333333335
T10,22796.61
T11,22796.61
T12,23519.88066666667
T13,28221.14
T14,24651.098666666665
T15,1445.8299999999997
T16,1445.8299999999997
T17,1445.8299999999997
T18,1445.8299999999997
T19,1445.8299999999995
T20,10070.575999999997
T21,44569.55999999999
T22,38795.112
T23,1261.2000000000003
T24,1261.2000000000003
T25,1261.2000000000003
T26,1261.2000000000003
T27,1261.2000000000003
T28,1398.5320000000002
T29,2291.19
T30,9910.26
T31,40386.54
T32,40386.54
T33,32645.146
T34,1679.57
T35,1679.57
T36,1679.57
T37,1679.57
T38,9998.248
T39,43272.96
T40,43272.96
T41,33931.026666666665
T42,8240.71
T43,8240.71
T44,6126.683333333333
T45,313.10999999999996
T46,2958.800666666667
T47,10234.45
T48,10234.45
T49,16276.392
T50,40444.16
T51,40444.16
T52,32628.577999999994
T53,1366.25
T54,1366.25
T55,1366.25
T56,1366.25
T57,8025.456
T58,34662.28
T59,34662.28
T60,28359.12533333333
T61,11025.45
T62,11025.45
T63,8050.033333333334
T64,2099.2
T65,2099.2
T66,2099.2
T67,2099.2
T68,2099.2
T69,2099.2
T70,2099.2
T71,2099.2
T72,2099.2
T73,2099.2
T74,2099.2
T75,2099.2
T76,10710.709333333334
T77,34392.36
T78,34392.36
T79,25710.39
T80,8346.45
T81,5452.610000000001
T82,1111.85
T83,1111.85
T84,4930.8859999999995
T85,10659.44
T86,10659.44
T87,18561.133333333335
T88,34364.52
T89,23536.41333333333
T90,1880.2
T91,1880.2
T92,1880.2
T93,1880.2
T94,1880.2
T95,1880.2
T96,1880.2
T97,1880.2
T98,1880.2
T99,1880.2
T100,1880.2
T101,1880.2
T102,1880.2
T103,13074.213333333331
T104,35462.24
T105,24164.02
T106,1567.5799999999997
T107,1567.5799999999997
T108,1567.5799999999997
T109,1567.5799999999997
T110,0.0
T111,0.0
