epoch,value
T0,940.77
T1,2381.278
T2,22548.39
T3,22548.39
T4,19921.590000000004
T5,2847.39
T6,2847.39
T7,2847.39
T8,2847.39
T9,4535.723333333333
T10,15509.889999999998
T11,15509.889999999998
T12,16031.55
T13,19422.340000000004
T14,17252.441333333336
T15,3148.0999999999995
T16,3148.0999999999995
T17,3148.0999999999995
T18,3148.1
T19,3148.1
T20,6791.259999999999
T21,21363.9
T22,18995.2
T23,3598.6500000000005
T24,3598.6500000000005
T25,3598.6500000000005
T26,3598.6500000000005
T27,3598.6500000000005
T28,4917.39
T29,13489.2
T30,17084.816
T31,31467.27999999999
T32,31467.27999999999
T33,25807.815999999995
T34,3169.9600000000005
T35,3169.9600000000005
T36,3169.9600000000005
T37,3169.96
T38,7932.464000000001
T39,26982.48
T40,26982.479999999996
T41,20595.693333333333
T42,3032.03
T43,3032.03
T44,2792.7393333333334
T45,2134.69
T46,2276.6366666666668
T47,2666.99
T48,2666.99
T49,8377.628
T50,31220.180000000004
T51,31220.18
T52,25538.54
T53,2811.9800000000005
T54,2811.9800000000005
T55,2811.9800000000005
T56,2811.9800000000005
T57,5354.080000000001
T58,15522.480000000001
T59,15522.480000000001
T60,13795.231999999998
T61,9045.3
T62,9045.3
T63,7047.41
T64,3051.6299999999997
T65,3051.6299999999997
T66,3051.63
T67,3051.63
T68,3051.6299999999997
T69,3051.63
T70,3051.63
T71,3051.63
T72,3051.6299999999997
T73,3051.63
T74,3051.6299999999997
T75,3051.6299999999997
T76,12558.494
T77,38702.37
T78,38702.37
T79,26786.336666666666
T80,2954.27
T81,3131.246
T82,3396.71
T83,3396.71
T84,3754.89
T85,4292.16
T86,4292.16
T87,10925.983333333334
T88,24193.63
T89,16840.89
T90,2135.41
T91,2135.41
T92,2135.41
T93,2135.41
T94,2135.41
T95,2135.41
T96,2135.41
T97,2135.41
T98,2135.41
T99,2135.41
T100,2135.41
T101,2135.41
T102,2135.41
T103,16892.213333333333
T104,46405.82
T105,32193.246666666666
T106,3768.1
T107,3768.1
T108,3768.1
T109,3768.1
T110,0.0
T111,0.0
