epoch,value
T0,99.6
T1,97.81333333333332
T2,71.89333333333335
T3,66.0
T4,65.21333333333334
T5,60.553333333333335
T6,62.00666666666667
T7,52.3
T8,54.099999999999994
T9,66.38000000000001
T10,98.29333333333334
T11,82.8
T12,80.55999999999999
T13,65.24
T14,60.93999999999999
T15,65.1
T16,63.419999999999995
T17,53.32666666666667
T18,58.70000000000001
T19,65.24000000000001
T20,89.90000000000002
T21,80.3
T22,65.9
T23,65.08666666666667
T24,61.36
T25,70.46000000000001
T26,64.76666666666667
T27,71.7
T28,74.59333333333333
T29,92.89333333333335
T30,89.59999999999998
T31,84.83999999999999
T32,64.33999999999999
T33,58.62
T34,59.1
T35,57.68
T36,53.2
T37,61.17333333333333
T38,81.8
T39,85.42
T40,90.32666666666667
T41,64.74666666666667
T42,66.8
T43,66.0
T44,64.6
T45,67.44
T46,69.2
T47,72.56
T48,88.78
T49,93.18000000000002
T50,66.3
T51,66.26
T52,64.84
T53,60.44000000000001
T54,61.4
T55,59.6
T56,55.8
T57,75.26
T58,98.7
T59,98.7
T60,98.96666666666667
T61,99.7
T62,99.7
T63,99.7
T64,99.7
T65,97.62000000000002
T66,91.9
T67,89.26666666666667
T68,82.93333333333334
T69,80.0
T70,80.0
T71,80.3
T72,82.44666666666667
T73,90.26666666666667
T74,97.4
T75,97.86
T76,99.7
T77,90.20666666666666
T78,64.1
T79,64.66666666666667
T80,63.96666666666667
T81,59.62
T82,58.6
T83,56.873333333333335
T84,62.5
T85,83.57999999999998
T86,98.1
T87,98.1
T88,98.5
T89,99.3
T90,99.3
T91,98.17999999999999
T92,93.44666666666666
T93,86.1
T94,78.4
T95,76.64000000000001
T96,70.46666666666667
T97,66.8
T98,66.8
T99,69.38666666666667
T100,78.82
T101,88.98666666666668
T102,99.4
T103,90.5
T104,70.78
T105,62.53333333333333
T106,56.6
T107,59.733333333333334
T108,62.080000000000005
T109,61.0
T110,0.0
T111,0.0
