epoch,value
T0,0.0
T1,0.3466666666666667
T2,5.6
T3,8.2
T4,8.066666666666666
T5,7.466666666666667
T6,9.28
T7,9.8
T8,9.340000000000002
T9,6.513333333333334
T10,0.29333333333333333
T11,3.0
T12,3.8
T13,8.813333333333333
T14,7.760000000000001
T15,8.8
T16,9.080000000000002
T17,10.780000000000001
T18,10.0
T19,8.18
T20,1.0800000000000003
T21,3.18
T22,8.7
T23,8.553333333333333
T24,7.52
T25,7.026666666666667
T26,7.133333333333335
T27,6.700000000000001
T28,5.86
T29,0.48000000000000004
T30,1.0
T31,2.5600000000000005
T32,8.7
T33,8.6
T34,9.8
T35,9.840000000000002
T36,10.06
T37,9.286666666666667
T38,2.7000000000000006
T39,2.18
T40,2.18
T41,7.98
T42,8.2
T43,7.9866666666666655
T44,7.373333333333334
T45,7.3
T46,7.3
T47,6.2
T48,1.4400000000000002
T49,1.4800000000000002
T50,7.400000000000001
T51,7.546666666666667
T52,8.360000000000001
T53,8.22
T54,9.9
T55,10.080000000000002
T56,9.82
T57,4.74
T58,0.1
T59,0.1
T60,0.1
T61,0.1
T62,0.1
T63,0.1
T64,0.1
T65,0.39333333333333337
T66,1.2
T67,1.8666666666666667
T68,3.4133333333333336
T69,4.0
T70,4.0
T71,3.933333333333333
T72,3.4799999999999995
T73,1.8333333333333333
T74,0.3
T75,0.25999999999999995
T76,0.1
T77,2.126666666666667
T78,7.7
T79,7.866666666666666
T80,8.033333333333333
T81,8.58
T82,9.9
T83,10.133333333333333
T84,8.000000000000002
T85,2.68
T86,0.1
T87,0.1
T88,0.06666666666666667
T89,0.0
T90,0.0
T91,0.16
T92,1.0
T93,2.6333333333333333
T94,4.1
T95,4.6066666666666665
T96,6.239999999999999
T97,6.9
T98,6.900000000000001
T99,6.340000000000001
T100,4.239999999999999
T101,2.006666666666667
T102,0.1
T103,1.6333333333333333
T104,5.686666666666667
T105,8.4
T106,8.4
T107,8.466666666666667
T108,8.6
T109,7.633333333333334
T110,0.0
T111,0.0
