epoch,value
T0,2198.589
T1,2198.589
T2,2198.589
T3,2198.589
T4,2198.588333333333
T5,2198.584
T6,2198.584
T7,2198.584
T8,2198.584
T9,2198.584
T10,2198.5840000000003
T11,2198.5840000000003
T12,2198.584
T13,2198.584
T14,2198.584
T15,2198.584
T16,2198.583733333333
T17,2198.582000000001
T18,2198.5820000000003
T19,2198.5820000000003
T20,2198.5820000000003
T21,2198.5820000000003
T22,2198.582000000001
T23,2198.582000000001
T24,2198.582000000001
T25,2198.582000000001
T26,2198.582000000001
T27,2198.582000000001
T28,2198.581866666667
T29,2198.5809999999997
T30,2198.581
T31,2198.581
T32,2198.581
T33,2198.581
T34,2198.581
T35,2198.581
T36,2198.581
T37,2198.5809999999997
T38,2198.581
T39,2198.581
T40,2198.581266666667
T41,2198.5820000000003
T42,2198.5820000000003
T43,2198.5820000000003
T44,2198.5820000000003
T45,2198.5820000000003
T46,2198.5820000000003
T47,2198.5820000000003
T48,2198.5820000000003
T49,2198.5820000000003
T50,2198.5820000000003
T51,2198.582000000001
T52,2198.581
T53,2198.577
T54,2198.577
T55,2198.577
T56,2198.577
T57,2198.577
T58,2198.5769999999998
T59,2198.5769999999998
T60,2198.5769999999998
T61,2198.577
T62,2198.577
T63,2198.577
T64,2198.5772666666667
T65,2198.578
T66,2198.578
T67,2198.578
T68,2198.578
T69,2198.578
T70,2198.578
T71,2198.578
T72,2198.578
T73,2198.578
T74,2198.578
T75,2198.578
T76,2198.577733333333
T77,2198.5769999999998
T78,2198.5769999999998
T79,2198.577
T80,2198.577
T81,2198.577
T82,2198.577
T83,2198.5769999999998
T84,2198.577
T85,2198.577
T86,2198.577
T87,2198.577
T88,2198.5763333333334
T89,2198.575
T90,2198.575
T91,2198.575
T92,2198.575
T93,2198.575
T94,2198.575
T95,2198.575
T96,2198.575
T97,2198.575
T98,2198.575
T99,2198.575
T100,2198.5744666666665
T101,2198.573
T102,2198.573
T103,2198.573
T104,2198.573
T105,2198.573
T106,2198.573
T107,2198.573
T108,2198.573
T109,2198.573
T110,0.0
T111,0.0
