epoch,value
T0,0.0
T1,0.008666666666666666
T2,0.15
T3,0.2800000000000001
T4,0.30000000000000004
T5,0.43
T6,0.4726666666666667
T7,0.75
T8,0.75
T9,0.7726666666666666
T10,0.92
T11,0.92
T12,0.92
T13,0.92
T14,0.92
T15,0.9733333333333334
T16,1.32
T17,1.32
T18,1.32
T19,1.384
T20,1.6400000000000001
T21,1.6400000000000001
T22,1.6400000000000001
T23,1.6400000000000001
T24,1.6400000000000001
T25,1.6946666666666668
T26,2.05
T27,2.05
T28,2.0726666666666667
T29,2.22
T30,2.2199999999999998
T31,2.2199999999999998
T32,2.266
T33,2.45
T34,2.45
T35,2.45
T36,2.45
T37,2.500666666666667
T38,2.8300000000000005
T39,2.818
T40,2.804666666666667
T41,2.9
T42,2.9
T43,2.9
T44,2.9
T45,2.9
T46,2.9826666666666664
T47,3.206
T48,3.178
T49,3.1300000000000003
T50,3.1300000000000003
T51,3.13
T52,3.1820000000000004
T53,3.39
T54,3.39
T55,3.44
T56,3.64
T57,3.632
T58,3.6
T59,3.5813333333333333
T60,3.508666666666666
T61,3.45
T62,3.45
T63,3.45
T64,3.45
T65,3.45
T66,3.3733333333333335
T67,3.22
T68,3.22
T69,3.22
T70,3.22
T71,3.22
T72,3.222666666666667
T73,3.2299999999999995
T74,3.23
T75,3.2299999999999995
T76,3.23
T77,3.195333333333333
T78,3.1
T79,3.1233333333333335
T80,3.206666666666666
T81,3.2800000000000002
T82,3.2800000000000002
T83,3.28
T84,3.2800000000000002
T85,3.348
T86,3.45
T87,3.4266666666666667
T88,3.38
T89,3.38
T90,3.3800000000000003
T91,3.3800000000000003
T92,3.3800000000000003
T93,3.348
T94,3.26
T95,3.26
T96,3.26
T97,3.26
T98,3.26
T99,3.3213333333333335
T100,3.49
T101,3.466
T102,3.4
T103,3.4
T104,3.4
T105,3.466666666666667
T106,3.6
T107,3.6
T108,3.6
T109,3.6
T110,0.0
T111,0.0
