epoch,value
T0,0.030000000000000002
T1,0.05533333333333333
T2,0.4673333333333333
T3,0.84
T4,0.8973333333333334
T5,1.27
T6,1.3833333333333333
T7,2.12
T8,2.12
T9,2.1613333333333333
T10,2.43
T11,2.43
T12,2.43
T13,2.43
T14,2.43
T15,2.5393333333333334
T16,3.25
T17,3.25
T18,3.25
T19,3.362
T20,3.81
T21,3.81
T22,3.81
T23,3.81
T24,3.81
T25,3.896666666666667
T26,4.459999999999999
T27,4.459999999999999
T28,4.4639999999999995
T29,4.49
T30,4.49
T31,4.49
T32,4.546
T33,4.77
T34,4.77
T35,4.77
T36,4.77
T37,4.835333333333333
T38,5.26
T39,5.191999999999999
T40,4.989333333333333
T41,5.179999999999999
T42,5.179999999999999
T43,5.179999999999999
T44,5.179999999999999
T45,5.179999999999999
T46,5.270666666666666
T47,5.48
T48,5.252000000000001
T49,4.98
T50,4.98
T51,4.98
T52,5.066
T53,5.41
T54,5.41
T55,5.510000000000001
T56,5.91
T57,5.828
T58,5.5
T59,5.4093333333333335
T60,5.072000000000001
T61,4.829999999999999
T62,4.829999999999999
T63,4.829999999999999
T64,4.83
T65,4.83
T66,4.5
T67,3.8399999999999994
T68,3.8399999999999994
T69,3.8399999999999994
T70,3.839999999999999
T71,3.8399999999999994
T72,3.818666666666666
T73,3.76
T74,3.76
T75,3.76
T76,3.76
T77,3.624
T78,3.25
T79,3.32
T80,3.5633333333333335
T81,3.77
T82,3.77
T83,3.77
T84,3.77
T85,3.898
T86,4.09
T87,4.006666666666666
T88,3.839999999999999
T89,3.8399999999999994
T90,3.8399999999999994
T91,3.8399999999999994
T92,3.8399999999999994
T93,3.730666666666666
T94,3.43
T95,3.43
T96,3.43
T97,3.43
T98,3.43
T99,3.5900000000000007
T100,4.03
T101,3.9393333333333334
T102,3.6899999999999995
T103,3.6899999999999995
T104,3.6899999999999995
T105,3.8766666666666665
T106,4.25
T107,4.25
T108,4.25
T109,4.25
T110,0.0
T111,0.0
