epoch,value
T0,0.02
T1,0.136
T2,1.9586666666666666
T3,3.25
T4,3.4099999999999997
T5,4.45
T6,4.6899999999999995
T7,6.25
T8,6.25
T9,6.106
T10,5.17
T11,5.17
T12,5.17
T13,5.17
T14,5.17
T15,5.283333333333333
T16,6.019999999999999
T17,6.02
T18,6.0200000000000005
T19,5.97
T20,5.77
T21,5.77
T22,5.769999999999999
T23,5.769999999999999
T24,5.769999999999999
T25,5.855333333333332
T26,6.41
T27,6.41
T28,6.207333333333334
T29,4.89
T30,4.89
T31,4.89
T32,5.12
T33,6.040000000000001
T34,6.040000000000001
T35,6.040000000000001
T36,6.040000000000001
T37,6.053333333333333
T38,6.14
T39,5.792
T40,4.725333333333334
T41,5.62
T42,5.62
T43,5.62
T44,5.62
T45,5.62
T46,5.812
T47,6.108
T48,4.885999999999998
T49,3.7099999999999995
T50,3.7099999999999995
T51,3.71
T52,4.208
T53,6.2
T54,6.2
T55,6.532
T56,7.86
T57,7.308000000000001
T58,5.1
T59,4.731999999999999
T60,3.4373333333333336
T61,2.6600000000000006
T62,2.6600000000000006
T63,2.6600000000000006
T64,2.6600000000000006
T65,2.6600000000000006
T66,2.2066666666666666
T67,1.3
T68,1.3
T69,1.3
T70,1.3
T71,1.3
T72,1.7560000000000002
T73,3.01
T74,3.01
T75,3.01
T76,3.01
T77,2.9006666666666665
T78,2.6
T79,2.9699999999999998
T80,4.13
T81,4.97
T82,4.97
T83,4.97
T84,4.97
T85,4.718
T86,4.34
T87,3.95
T88,3.17
T89,3.17
T90,3.17
T91,3.17
T92,3.17
T93,3.2366666666666664
T94,3.42
T95,3.42
T96,3.42
T97,3.42
T98,3.42
T99,3.913333333333333
T100,5.27
T101,4.733999999999999
T102,3.26
T103,3.26
T104,3.26
T105,4.116666666666666
T106,5.829999999999999
T107,5.829999999999999
T108,5.83
T109,5.829999999999999
T110,0.0
T111,0.0
