epoch,value
T0,1902340.0
T1,1902341.8666666667
T2,1902368.0
T3,1902368.0
T4,1902368.5333333334
T5,1902372.0
T6,1902373.0666666667
T7,1902380.0
T8,1902380.0
T9,1902381.6
T10,1902392.0
T11,1902392.0
T12,1902394.6666666667
T13,1902412.0
T14,1902413.0666666667
T15,1902420.0
T16,1902420.0
T17,1902422.6666666667
T18,1902440.0
T19,1902440.0
T20,1902445.6
T21,1902468.0
T22,1902469.0666666667
T23,1902476.0
T24,1902476.0
T25,1902478.1333333333
T26,1902492.0
T27,1902492.0
T28,1902492.0
T29,1902492.0
T30,1902492.8
T31,1902496.0
T32,1902496.0
T33,1902499.2
T34,1902512.0
T35,1902512.0
T36,1902513.6
T37,1902520.0
T38,1902520.8
T39,1902524.0
T40,1902524.0
T41,1902527.2
T42,1902536.0
T43,1902536.0
T44,1902538.1333333333
T45,1902544.0
T46,1902546.1333333333
T47,1902552.0
T48,1902552.0
T49,1902553.6
T50,1902560.0
T51,1902560.0
T52,1902560.8
T53,1902564.0
T54,1902565.6
T55,1902572.0
T56,1902572.0
T57,1902573.6
T58,1902580.0
T59,1902580.0
T60,1902580.0
T61,1902580.0
T62,1902580.0
T63,1902580.0
T64,1902580.0
T65,1902584.2666666666
T66,1902596.0
T67,1902596.0
T68,1902597.0666666667
T69,1902600.0
T70,1902600.0
T71,1902604.0
T72,1902612.0
T73,1902620.0
T74,1902636.0
T75,1902636.0
T76,1902637.0666666667
T77,1902640.0
T78,1902640.0
T79,1902644.0
T80,1902652.0
T81,1902653.6
T82,1902656.0
T83,1902656.0
T84,1902659.2
T85,1902664.0
T86,1902664.0
T87,1902666.6666666667
T88,1902672.0
T89,1902672.0
T90,1902672.0
T91,1902672.0
T92,1902673.0666666667
T93,1902676.0
T94,1902676.0
T95,1902678.1333333333
T96,1902684.0
T97,1902684.0
T98,1902684.0
T99,1902684.0
T100,1902685.0666666667
T101,1902688.0
T102,1902688.0
T103,1902689.3333333333
T104,1902692.0
T105,1902701.3333333333
T106,1902720.0
T107,1902720.0
T108,1902723.2
T109,1902728.0
T110,0.0
T111,0.0
