epoch,value
T0,8355480.0
T1,8357218.666666667
T2,8381560.0
T3,8381560.0
T4,8388149.333333333
T5,8430980.0
T6,8437617.866666667
T7,8480764.0
T8,8480764.0
T9,8478501.6
T10,8463796.0
T11,8463796.0
T12,8463984.266666668
T13,8465208.0
T14,8466638.4
T15,8475936.0
T16,8475936.0
T17,8476176.0
T18,8477736.0
T19,8477736.0
T20,8471748.8
T21,8447800.0
T22,8449268.8
T23,8458816.0
T24,8458816.0
T25,8460468.8
T26,8471212.0
T27,8471212.0
T28,8468832.266666668
T29,8453364.0
T30,8457431.2
T31,8473700.0
T32,8473700.0
T33,8475920.8
T34,8484804.0
T35,8484804.0
T36,8486203.2
T37,8491800.0
T38,8484744.8
T39,8456524.0
T40,8456524.0
T41,8458624.266666668
T42,8464400.0
T43,8464400.0
T44,8466909.866666667
T45,8473812.0
T46,8469737.333333334
T47,8458532.0
T48,8458532.0
T49,8456047.2
T50,8446108.0
T51,8446108.0
T52,8447713.6
T53,8454136.0
T54,8461256.0
T55,8489736.0
T56,8489736.0
T57,8490878.4
T58,8495448.0
T59,8495448.0
T60,8495835.2
T61,8496900.0
T62,8496900.0
T63,8496900.0
T64,8496900.0
T65,8497041.866666667
T66,8497432.0
T67,8497432.0
T68,8497598.4
T69,8498056.0
T70,8498056.0
T71,8498077.333333334
T72,8498120.0
T73,8497865.333333334
T74,8497356.0
T75,8497356.0
T76,8497254.666666666
T77,8496976.0
T78,8496976.0
T79,8497908.0
T80,8499772.0
T81,8500208.8
T82,8500864.0
T83,8500864.0
T84,8500148.8
T85,8499076.0
T86,8499076.0
T87,8499226.666666666
T88,8499528.0
T89,8499528.0
T90,8499528.0
T91,8499528.0
T92,8499824.533333333
T93,8500640.0
T94,8500640.0
T95,8500933.333333334
T96,8501740.0
T97,8501685.6
T98,8501536.0
T99,8501536.0
T100,8501357.866666667
T101,8500868.0
T102,8500868.0
T103,8501600.0
T104,8503064.0
T105,8503110.666666666
T106,8503204.0
T107,8503204.0
T108,8503242.4
T109,8503300.0
T110,0.0
T111,0.0
