epoch,value
T0,20380372.0
T1,20248991.733333334
T2,18409668.0
T3,18409668.0
T4,18409042.933333334
T5,18404980.0
T6,18324220.533333335
T7,17799284.0
T8,17799284.0
T9,18127092.533333335
T10,20257848.0
T11,20257848.0
T12,19997620.266666666
T13,18306140.0
T14,18283146.933333334
T15,18133692.0
T16,18133692.0
T17,18091817.333333332
T18,17819632.0
T19,17819632.0
T20,17831673.6
T21,17879840.0
T22,17866357.333333332
T23,17778720.0
T24,17778720.0
T25,17808357.866666667
T26,18001004.0
T27,18001004.0
T28,18303605.6
T29,20270516.0
T30,19876582.4
T31,18300848.0
T32,18300848.0
T33,18202674.4
T34,17809980.0
T35,17809980.0
T36,17809868.8
T37,17809424.0
T38,18299213.6
T39,20258372.0
T40,20258372.0
T41,19824702.666666668
T42,18632112.0
T43,18632112.0
T44,18606291.2
T45,18535284.0
T46,18995007.733333334
T47,20259248.0
T48,20259248.0
T49,19876772.0
T50,18346868.0
T51,18346868.0
T52,18308344.8
T53,18154252.0
T54,18077932.0
T55,17772652.0
T56,17772652.0
T57,18260839.2
T58,20213588.0
T59,20213588.0
T60,20094799.733333334
T61,19768132.0
T62,19768132.0
T63,19768132.0
T64,19768132.0
T65,19660570.4
T66,19364776.0
T67,19364776.0
T68,19196188.266666666
T69,18732572.0
T70,18732572.0
T71,18754240.0
T72,18797576.0
T73,19115996.0
T74,19752836.0
T75,19752836.0
T76,19877069.6
T77,20218712.0
T78,20218712.0
T79,19644653.333333332
T80,18496536.0
T81,18189107.2
T82,17727964.0
T83,17727964.0
T84,18719487.2
T85,20206772.0
T86,20206772.0
T87,20056918.666666668
T88,19757212.0
T89,19757212.0
T90,19757212.0
T91,19757212.0
T92,19537561.866666667
T93,18933524.0
T94,18933524.0
T95,18677109.066666666
T96,17971968.0
T97,18045390.933333334
T98,18247304.0
T99,18247304.0
T100,18517019.2
T101,19258736.0
T102,19258736.0
T103,18784596.0
T104,17836316.0
T105,17831516.0
T106,17821916.0
T107,17821916.0
T108,17830092.0
T109,17842356.0
T110,0.0
T111,0.0
