epoch,value
T0,3.07
T1,5.379999999999999
T2,37.72
T3,37.72
T4,33.344
T5,4.9
T6,4.9
T7,4.9
T8,4.9
T9,7.680000000000001
T10,25.75
T11,25.75
T12,26.228666666666665
T13,29.34
T14,26.174666666666667
T15,5.6
T16,5.6
T17,5.6
T18,5.599999999999999
T19,5.599999999999999
T20,13.370000000000001
T21,44.45000000000001
T22,39.746
T23,9.169999999999998
T24,9.169999999999998
T25,9.169999999999998
T26,9.169999999999998
T27,9.169999999999998
T28,10.033999999999999
T29,15.650000000000002
T30,20.529999999999998
T31,40.05
T32,40.05
T33,33.224
T34,5.919999999999999
T35,5.919999999999999
T36,5.919999999999999
T37,5.92
T38,13.171999999999999
T39,42.17999999999999
T40,42.18
T41,34.11333333333334
T42,11.93
T43,11.93
T44,9.562
T45,3.05
T46,5.562
T47,12.47
T48,12.47
T49,18.178
T50,41.01
T51,41.01
T52,33.828
T53,5.1
T54,5.1
T55,5.1
T56,5.1
T57,10.74
T58,33.3
T59,33.3
T60,29.985333333333333
T61,20.87
T62,20.87
T63,17.630000000000003
T64,11.15
T65,11.15
T66,11.15
T67,11.15
T68,11.15
T69,11.15
T70,11.15
T71,11.15
T72,11.15
T73,11.15
T74,11.15
T75,11.15
T76,18.88866666666667
T77,40.169999999999995
T78,40.169999999999995
T79,30.84666666666667
T80,12.2
T81,9.520000000000001
T82,5.5
T83,5.5
T84,9.18
T85,14.699999999999998
T86,14.7
T87,22.206666666666667
T88,37.22
T89,28.10333333333333
T90,9.87
T91,9.87
T92,9.87
T93,9.87
T94,9.870000000000001
T95,9.87
T96,9.87
T97,9.87
T98,9.870000000000001
T99,9.87
T100,9.87
T101,9.87
T102,9.87
T103,21.07333333333333
T104,43.48
T105,32.36333333333333
T106,10.13
T107,10.13
T108,10.129999999999999
T109,10.13
T110,0.0
T111,0.0
