epoch,value
T0,4.7700000000000005
T1,6.416666666666667
T2,29.470000000000002
T3,29.469999999999995
T4,26.689999999999998
T5,8.62
T6,8.62
T7,8.62
T8,8.620000000000001
T9,10.606666666666666
T10,23.519999999999996
T11,23.519999999999996
T12,23.916
T13,26.490000000000002
T14,24.198
T15,9.3
T16,9.3
T17,9.3
T18,9.3
T19,9.3
T20,14.48
T21,35.2
T22,31.94266666666667
T23,10.77
T24,10.77
T25,10.77
T26,10.77
T27,10.77
T28,12.267333333333333
T29,22.0
T30,24.84
T31,36.2
T32,36.2
T33,30.894000000000002
T34,9.669999999999998
T35,9.669999999999998
T36,9.669999999999998
T37,9.669999999999998
T38,14.542
T39,34.03
T40,34.03
T41,28.37666666666667
T42,12.83
T43,12.83
T44,10.934
T45,5.72
T46,7.133333333333334
T47,11.020000000000001
T48,11.020000000000001
T49,16.048
T50,36.16
T51,36.15999999999999
T52,30.613999999999997
T53,8.43
T54,8.43
T55,8.43
T56,8.43
T57,11.954
T58,26.05
T59,26.05
T60,24.463333333333335
T61,20.1
T62,20.1
T63,17.3
T64,11.7
T65,11.7
T66,11.7
T67,11.7
T68,11.7
T69,11.7
T70,11.7
T71,11.7
T72,11.7
T73,11.7
T74,11.7
T75,11.699999999999998
T76,19.10533333333333
T77,39.47
T78,39.47
T79,30.446666666666662
T80,12.4
T81,11.440000000000001
T82,10.0
T83,10.0
T84,12.0
T85,15.0
T86,15.0
T87,20.663333333333334
T88,31.99
T89,24.6
T90,9.82
T91,9.82
T92,9.82
T93,9.82
T94,9.82
T95,9.82
T96,9.82
T97,9.82
T98,9.82
T99,9.82
T100,9.82
T101,9.82
T102,9.82
T103,22.80666666666667
T104,48.78
T105,36.38
T106,11.58
T107,11.58
T108,11.58
T109,11.58
T110,0.0
T111,0.0
