epoch,value
1620002646.481,3.07
1620002661.481,3.03
1620002676.481,3.04
1620002691.481,3.07
1620002706.481,3.06
1620002721.481,3.47
1620002736.481,3.77
1620002751.481,4.02
1620002766.481,4.12
1620002781.481,4.37
1620002796.481,4.61
1620002811.481,4.69
1620002826.481,4.93
1620002841.481,5.01
1620002856.481,5.09
1620002871.481,5.32
1620002886.481,5.54
1620002901.4829998,5.76
1620002916.4829998,5.82
1620002931.481,5.89
1620002946.481,6.11
1620002961.481,6.32
1620002976.481,6.52
1620002991.481,6.73
1620003006.481,6.65
1620003021.481,6.58
1620003036.481,6.5
1620003051.481,6.43
1620003066.481,6.36
1620003081.481,6.28
1620003096.481,6.3
1620003111.481,6.24
1620003126.481,6.17
1620003141.481,6.11
1620003156.481,6.06
1620003171.481,5.97
1620003186.481,6.02
