epoch,value
1620002646.481,3.73
1620002661.481,3.58
1620002676.481,3.57
1620002691.481,3.64
1620002706.481,3.59
1620002721.481,4.82
1620002736.481,5.67
1620002751.481,6.33
1620002766.481,6.53
1620002781.481,7.17
1620002796.481,7.76
1620002811.481,7.87
1620002826.481,8.44
1620002841.481,8.52
1620002856.481,8.6
1620002871.481,9.12
1620002886.481,9.6
1620002901.4829998,10.06
1620002916.4829998,10.06
1620002931.481,10.06
1620002946.481,10.51
1620002961.481,10.94
1620002976.481,11.34
1620002991.481,11.74
1620003006.481,11.26
1620003021.481,10.81
1620003036.481,10.36
1620003051.481,9.95
1620003066.481,9.56
1620003081.481,9.17
1620003096.481,9.1
1620003111.481,8.78
1620003126.481,8.45
1620003141.481,8.15
1620003156.481,7.88
1620003171.481,7.53
1620003186.481,7.61
