epoch,value
1620002646.481,2.83
1620002661.481,2.35
1620002676.481,2.56
1620002691.481,3.05
1620002706.481,2.96
1620002721.481,8.66
1620002736.481,11.47
1620002751.481,13.3
1620002766.481,12.82
1620002781.481,14.43
1620002796.481,15.52
1620002811.481,14.3
1620002826.481,15.32
1620002841.481,14.14
1620002856.481,13.39
1620002871.481,14.54
1620002886.481,15.54
1620002901.4829998,16.14
1620002916.4829998,14.94
1620002931.481,13.84
1620002946.481,15.07
1620002961.481,15.85
1620002976.481,16.71
1620002991.481,17.2
1620003006.481,13.82
1620003021.481,11.21
1620003036.481,9.09
1620003051.481,7.52
1620003066.481,6.3
1620003081.481,5.27
1620003096.481,5.79
1620003111.481,5.1
1620003126.481,4.42
1620003141.481,3.98
1620003156.481,3.66
1620003171.481,3.0
1620003186.481,4.4
