epoch,value
1620002646.481,70883098.624
1620002661.481,71106179.072
1620002676.481,71368667.136
1620002691.481,71369076.736
1620002706.482,71369461.76
1620002721.481,71369674.752
1620002736.481,71370055.68
1620002751.481,71370588.16
1620002766.481,71474405.376
1620002781.481,71510700.032
1620002796.481,71511126.016
1620002811.481,71544918.016
1620002826.481,71561031.68
1620002841.481,71577788.416
1620002856.481,71577952.256
1620002871.481,71611019.264
1620002886.481,71611420.672
1620002901.481,71575965.696
1620002916.481,71513759.744
1620002931.481,71514013.696
1620002946.481,71514361.856
1620002961.481,71514669.056
1620002976.481,71515017.216
1620002991.481,71515054.08
1620003006.481,71515459.584
1620003021.481,71376146.432
1620003036.481,71376535.552
1620003051.481,71376666.624
1620003066.481,71377006.592
1620003081.481,71381880.832
1620003096.481,71914848.256
1620003111.481,72338567.168
1620003126.481,72803233.792
1620003141.481,73137049.6
1620003156.481,72938713.088
1620003171.481,73300942.848
1620003186.481,73355485.184
