epoch,value
1620002646.481,119408627.712
1620002661.481,119188021.248
1620002676.481,118524731.392
1620002691.481,118304059.392
1620002706.482,118187261.952
1620002721.481,118054977.536
1620002736.481,117770027.008
1620002751.481,117674110.976
1620002766.481,117568598.016
1620002781.481,117416632.32
1620002796.481,117419376.64
1620002811.481,117385392.128
1620002826.481,117363023.872
1620002841.481,117347827.712
1620002856.481,117349085.184
1620002871.481,117350178.816
1620002886.481,117313904.64
1620002901.481,117350055.936
1620002916.481,117437603.84
1620002931.481,117415956.48
1620002946.481,117404352.512
1620002961.481,117421363.2
1620002976.481,117402128.384
1620002991.481,117468020.736
1620003006.481,117476229.12
1620003021.481,117539799.04
1620003036.481,117542408.192
1620003051.481,117540540.416
1620003066.481,117541888.0
1620003081.481,117538443.264
1620003096.481,116997091.328
1620003111.481,116291260.416
1620003126.481,116094779.392
1620003141.481,115764047.872
1620003156.481,115947524.096
1620003171.481,115610714.112
1620003186.481,115558555.648
