epoch,value
1620002646.481,6910341.12
1620002661.481,6908301.312
1620002676.481,7308840.96
1620002691.481,7527628.8
1620002706.482,7646056.448
1620002721.481,7778127.872
1620002736.481,8062783.488
1620002751.481,8158244.864
1620002766.481,8159809.536
1620002781.481,8275714.048
1620002796.481,8272310.272
1620002811.481,8272330.752
1620002826.481,8278945.792
1620002841.481,8277422.08
1620002856.481,8276021.248
1620002871.481,8241897.472
1620002886.481,8277626.88
1620002901.481,8276733.952
1620002916.481,8251285.504
1620002931.481,8272904.192
1620002946.481,8284311.552
1620002961.481,8267022.336
1620002976.481,8286040.064
1620002991.481,8219832.32
1620003006.481,8211369.984
1620003021.481,8287285.248
1620003036.481,8284504.064
1620003051.481,8286367.744
1620003066.481,8284303.36
1620003081.481,8282800.128
1620003096.481,8291172.352
1620003111.481,8572534.784
1620003126.481,8304967.68
1620003141.481,8301146.112
1620003156.481,8316211.2
1620003171.481,8290578.432
1620003186.481,8288624.64
