epoch,shortterm,midterm,longterm
1619931609.241,3.220000,3.300000,3.350000
1619931624.241,3.240000,3.300000,3.350000
1619931639.241,3.250000,3.300000,3.350000
1619931654.241,3.270000,3.300000,3.350000
1619931669.241,3.210000,3.280000,3.350000
1619931684.241,3.230000,3.290000,3.350000
1619931699.241,3.260000,3.290000,3.350000
1619931714.241,3.270000,3.290000,3.350000
1619931729.241,3.210000,3.280000,3.340000
1619931744.241,3.160000,3.260000,3.340000
1619931759.241,3.130000,3.250000,3.330000
1619931774.241,3.170000,3.250000,3.330000
1619931789.241,3.210000,3.260000,3.330000
1619931804.241,3.250000,3.260000,3.330000
1619931819.241,3.190000,3.250000,3.330000
1619931834.241,3.310000,3.270000,3.330000
1619931849.241,3.520000,3.320000,3.350000
1619931864.241,3.540000,3.340000,3.350000
1619931879.241,3.630000,3.370000,3.370000
1619931894.241,3.720000,3.400000,3.380000
1619931909.241,3.560000,3.380000,3.370000
1619931924.241,3.430000,3.360000,3.360000
1619931939.241,3.340000,3.340000,3.360000
1619931954.241,3.340000,3.340000,3.360000
1619931969.241,3.410000,3.360000,3.360000
1619931984.241,3.400000,3.360000,3.360000
1619931999.241,3.310000,3.340000,3.360000
1619932014.241,3.310000,3.340000,3.360000
1619932029.241,3.320000,3.340000,3.360000
1619932044.241,3.390000,3.360000,3.360000
1619932059.241,3.460000,3.370000,3.370000
1619932074.241,3.430000,3.370000,3.370000
1619932089.241,3.420000,3.370000,3.360000
1619932104.241,3.410000,3.370000,3.360000
1619932119.241,3.390000,3.360000,3.360000
1619932134.241,3.580000,3.410000,3.380000
1619932149.241,3.670000,3.440000,3.390000
1619932164.241,3.520000,3.420000,3.380000
1619932179.241,3.410000,3.400000,3.370000
1619932194.241,3.320000,3.380000,3.370000
1619932209.241,3.250000,3.360000,3.360000
1619932224.241,3.190000,3.340000,3.350000
1619932239.241,3.150000,3.320000,3.350000
1619932254.241,3.110000,3.310000,3.340000
1619932269.241,3.160000,3.310000,3.340000
1619932284.241,3.130000,3.290000,3.340000
1619932299.241,3.470000,3.360000,3.360000
1619932314.241,3.450000,3.360000,3.360000
1619932329.241,3.420000,3.360000,3.360000
1619932344.241,3.330000,3.340000,3.350000
1619932359.241,3.260000,3.320000,3.350000
1619932374.241,3.410000,3.350000,3.360000
1619932389.241,3.320000,3.340000,3.350000
1619932404.241,3.250000,3.320000,3.350000
1619932419.241,3.190000,3.300000,3.340000
1619932434.241,3.220000,3.300000,3.340000
1619932449.241,3.170000,3.290000,3.330000
1619932464.241,3.130000,3.270000,3.330000
1619932479.241,3.260000,3.290000,3.330000
1619932494.241,3.200000,3.280000,3.330000
1619932509.241,3.160000,3.260000,3.320000
1619932524.241,3.200000,3.270000,3.320000
1619932539.241,3.380000,3.300000,3.330000
1619932554.241,3.300000,3.290000,3.330000
1619932569.241,3.310000,3.290000,3.330000
1619932584.241,3.240000,3.270000,3.320000
1619932599.241,3.330000,3.290000,3.330000
1619932614.241,3.330000,3.290000,3.330000
1619932629.241,3.340000,3.300000,3.330000
1619932644.241,3.420000,3.310000,3.330000
1619932659.241,3.400000,3.320000,3.330000
1619932674.241,3.310000,3.300000,3.330000
1619932689.241,3.240000,3.280000,3.320000
1619932704.241,3.190000,3.270000,3.320000
1619932719.241,3.290000,3.290000,3.320000
1619932734.241,3.220000,3.270000,3.320000
1619932749.241,3.310000,3.290000,3.320000
1619932764.241,3.240000,3.280000,3.310000
1619932779.241,3.250000,3.280000,3.310000
1619932794.241,3.270000,3.280000,3.310000
1619932809.241,3.210000,3.270000,3.310000
1619932824.241,3.240000,3.270000,3.310000
1619932839.241,3.410000,3.310000,3.320000
1619932854.241,3.320000,3.290000,3.310000
1619932869.241,3.250000,3.280000,3.310000
1619932884.241,3.340000,3.300000,3.310000
1619932899.241,3.260000,3.280000,3.310000
1619932914.241,3.200000,3.270000,3.300000
1619932929.241,3.160000,3.250000,3.300000
1619932944.241,3.190000,3.260000,3.300000
1619932959.241,3.230000,3.260000,3.300000
1619932974.241,3.180000,3.250000,3.290000
1619932989.241,3.220000,3.250000,3.290000
1619933004.241,3.170000,3.240000,3.290000
1619933019.241,3.500000,3.310000,3.310000
1619933034.241,3.460000,3.310000,3.310000
1619933049.241,3.570000,3.340000,3.320000
1619933064.241,3.510000,3.340000,3.320000
1619933079.241,3.400000,3.320000,3.310000
1619933094.241,3.380000,3.320000,3.310000
1619933109.241,3.360000,3.320000,3.310000
1619933124.241,3.280000,3.310000,3.310000
1619933139.241,3.290000,3.310000,3.310000
1619933154.241,3.310000,3.310000,3.310000
1619933169.241,3.310000,3.310000,3.310000
1619933184.241,3.390000,3.330000,3.310000
1619933199.241,3.520000,3.360000,3.320000
1619933214.241,3.700000,3.410000,3.340000
1619933229.241,3.690000,3.420000,3.350000
1619933244.241,3.610000,3.420000,3.350000
1619933259.241,3.780000,3.460000,3.360000
1619933274.241,3.820000,3.490000,3.370000
1619933289.241,4.020000,3.550000,3.390000
1619933304.241,3.870000,3.540000,3.390000
1619933319.241,4.060000,3.590000,3.410000
1619933334.241,3.820000,3.560000,3.410000
1619933349.241,3.640000,3.540000,3.400000
1619933364.241,3.630000,3.540000,3.400000
1619933379.241,3.640000,3.550000,3.410000
1619933394.241,3.490000,3.520000,3.400000
1619933409.241,3.380000,3.490000,3.390000
1619933424.241,3.300000,3.470000,3.390000
1619933439.241,3.300000,3.460000,3.380000
1619933454.241,3.310000,3.450000,3.380000
1619933469.241,3.240000,3.430000,3.380000
1619933484.241,3.340000,3.440000,3.380000
1619933499.241,3.400000,3.450000,3.380000
1619933514.241,3.310000,3.430000,3.380000
1619933529.241,3.390000,3.440000,3.380000
1619933544.241,3.810000,3.540000,3.410000
1619933559.241,3.630000,3.510000,3.400000
1619933574.241,3.490000,3.480000,3.400000
1619933589.241,3.380000,3.460000,3.390000
1619933604.241,3.450000,3.470000,3.390000
1619933619.241,3.410000,3.460000,3.390000
1619933634.241,3.550000,3.490000,3.400000
1619933649.241,3.590000,3.500000,3.410000
1619933664.241,3.460000,3.470000,3.400000
1619933679.241,3.360000,3.450000,3.390000
1619933694.241,3.420000,3.460000,3.400000
1619933709.241,3.330000,3.440000,3.390000
1619933724.241,3.340000,3.430000,3.390000
1619933739.241,3.420000,3.440000,3.390000
1619933754.241,3.320000,3.420000,3.380000
1619933769.241,3.330000,3.420000,3.380000
1619933784.241,3.330000,3.410000,3.380000
1619933799.241,3.340000,3.410000,3.380000
1619933814.241,3.260000,3.390000,3.370000
1619933829.241,3.200000,3.370000,3.360000
1619933844.241,3.160000,3.350000,3.360000
1619933859.241,3.260000,3.360000,3.360000
