epoch,value
1620002634.2410002,3.36
1620002649.2410002,3.5
1620002664.2410002,3.61
1620002679.2410002,3.47
1620002694.2410002,3.58
1620002709.2410002,3.45
1620002724.2410002,3.43
1620002739.2410002,3.33
1620002754.2410002,3.26
1620002769.2410002,3.2
1620002784.2410002,3.23
1620002799.2410002,3.26
1620002814.2410002,3.28
1620002829.2410002,3.29
1620002844.2410002,3.59
1620002859.2410002,3.84
1620002874.2410002,3.72
1620002889.2410002,3.86
1620002904.2410002,3.67
1620002919.2410002,3.52
1620002934.2410002,3.47
1620002949.2410002,3.37
1620002964.2410002,3.29
1620002979.2410002,3.3
1620002994.2410002,3.23
1620003009.2410002,3.26
1620003024.2410002,3.2
1620003039.2410002,3.16
1620003054.2410002,3.2
1620003069.2410002,3.15
1620003084.2410002,3.19
1620003099.2410002,3.22
1620003114.2410002,3.25
1620003129.2410002,3.26
1620003144.2410002,3.2
1620003159.2410002,3.16
1620003174.2410002,3.12
