epoch,value
1620002634.2410002,5449138.176
1620002649.2410002,5449146.368
1620002664.2410002,5449166.848
1620002679.2410002,5449166.848
1620002694.2410002,5449170.944
1620002709.2410002,5449170.944
1620002724.2410002,5449175.04
1620002739.2410002,5449175.04
1620002754.2410002,5449175.04
1620002769.2410002,5449183.232
1620002784.2410002,5449183.232
1620002799.2410002,5449183.232
1620002814.2410002,5449191.424
1620002829.2410002,5449191.424
1620002844.2410002,5449199.616
1620002859.2410002,5449224.192
1620002874.2410002,5449232.384
1620002889.2410002,5449240.576
1620002904.2410002,5449240.576
1620002919.2410002,5449240.576
1620002934.2410002,5449240.576
1620002949.2410002,5449240.576
1620002964.2410002,5449240.576
1620002979.2410002,5449240.576
1620002994.2410002,5449240.576
1620003009.2410002,5449256.96
1620003024.2410002,5449256.96
1620003039.2410002,5449256.96
1620003054.2410002,5449256.96
1620003069.2410002,5449256.96
1620003084.2410002,5449261.056
1620003099.2410002,5449261.056
1620003114.2410002,5449261.056
1620003129.2410002,5449261.056
1620003144.2410002,5449261.056
1620003159.2410002,5449261.056
1620003174.2410002,5449261.056
