epoch,value
1620002634.2410002,69208850.432
1620002649.2410002,69208023.04
1620002664.2410002,69208379.392
1620002679.2410002,69208391.68
1620002694.2410002,69208543.232
1620002709.2410002,69208555.52
1620002724.2410002,69208555.52
1620002739.2410002,69208580.096
1620002754.2410002,69208727.552
1620002769.2410002,69208739.84
1620002784.2410002,69208743.936
1620002799.2410002,69208752.128
1620002814.2410002,69208899.584
1620002829.2410002,69208911.872
1620002844.2410002,69208907.776
1620002859.2410002,69210042.368
1620002874.2410002,69210378.24
1620002889.2410002,69210390.528
1620002904.2410002,69211074.56
1620002919.2410002,69211201.536
1620002934.2410002,69211222.016
1620002949.2410002,69211226.112
1620002964.2410002,69211250.688
1620002979.2410002,69211250.688
1620002994.2410002,69211271.168
1620003009.2410002,69211275.264
1620003024.2410002,69211287.552
1620003039.2410002,69211422.72
1620003054.2410002,69211455.488
1620003069.2410002,69211463.68
1620003084.2410002,69211471.872
1620003099.2410002,69211471.872
1620003114.2410002,69211484.16
1620003129.2410002,69211484.16
1620003144.2410002,69211496.448
1620003159.2410002,69211643.904
1620003174.2410002,69211648.0
